x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.38334;224.758;0.115697;-0.011894;0.0547128;-2.23377
4.44212;224.758;0.0164864;-0.00617087;0.0567078;-2.24064
13.2676;224.758;-0.0263853;0.00381408;0.0527834;-2.21383
22.093;224.758;-0.0573264;0.00750793;0.0422656;-2.13722
-39.6852;215.933;-0.0236217;-0.0146552;0.0711936;-2.55378
-30.8597;215.933;-0.110706;-0.0124684;0.0782991;-2.70181
-22.0342;215.933;-0.217603;-0.00907053;0.0738626;-2.77743
-13.2088;215.933;-0.282745;0.000636175;0.0712103;-2.9
-4.38334;215.933;-0.258786;-0.000787264;0.0774566;-3.03831
4.44212;215.933;-0.243161;0.00177506;0.0859249;-3.12734
13.2676;215.933;-0.236875;0.00947828;0.0888052;-3.13658
22.093;215.933;-0.216982;0.0127805;0.0833323;-3.09494
30.9185;215.933;-0.190114;0.0136903;0.0770606;-3.02561
39.7439;215.933;-0.184509;0.015476;0.0668881;-2.90922
48.5694;215.933;-0.226374;0.017785;0.054249;-2.73859
57.3948;215.933;-0.282106;0.0188088;0.0425068;-2.51452
66.2203;215.933;-0.344594;0.0168728;0.0410845;-2.25551
75.0458;215.933;-0.390934;0.0135942;0.0391654;-1.96658
-74.987;207.107;0.310109;-0.0382135;0.049647;-2.46046
-66.1615;207.107;0.220077;-0.0302035;0.0599425;-2.78199
-57.3361;207.107;0.0527837;-0.0232411;0.0739251;-3.04817
-48.5106;207.107;-0.00835472;-0.0227231;0.0881041;-3.34361
-39.6852;207.107;-0.0847791;-0.019736;0.0983045;-3.56176
-30.8597;207.107;-0.343077;-0.0146373;0.11139;-3.60968
-22.0342;207.107;-0.616261;-0.0081214;0.110818;-3.5659
-13.2088;207.107;-0.691359;0.00260084;0.103063;-3.65342
-4.38334;207.107;-0.578334;0.00729796;0.0982862;-3.82886
4.44212;207.107;-0.485139;0.0120282;0.108205;-3.98684
13.2676;207.107;-0.40193;0.0183369;0.115121;-4.06516
22.093;207.107;-0.315914;0.0210351;0.113284;-4.08364
30.9185;207.107;-0.244018;0.0229067;0.105297;-4.04501
39.7439;207.107;-0.213265;0.0271995;0.0906962;-3.9381
48.5694;207.107;-0.231486;0.0311142;0.0736497;-3.76908
57.3948;207.107;-0.284992;0.0330864;0.0635257;-3.53618
66.2203;207.107;-0.341313;0.0331285;0.0634478;-3.27081
75.0458;207.107;-0.380589;0.0307588;0.0629086;-2.97214
83.8712;207.107;-0.390712;0.026159;0.0538253;-2.63882
92.6967;207.107;-0.374898;0.0217262;0.0342604;-2.26086
-110.289;198.282;0.583516;-0.0207647;0.0112038;-1.66208
-101.463;198.282;0.489507;-0.0326108;0.0309658;-2.15106
-92.6379;198.282;0.390211;-0.0467452;0.0491029;-2.63598
-83.8124;198.282;0.339983;-0.0542445;0.0605951;-3.09397
-74.987;198.282;0.263229;-0.0484261;0.0697358;-3.51356
-66.1615;198.282;0.117529;-0.0338851;0.0769189;-3.82733
-57.3361;198.282;-0.0883866;-0.0208211;0.0929872;-4.07409
-48.5106;198.282;-0.117861;-0.0205842;0.104091;-4.35198
-39.6852;198.282;-0.151734;-0.0180711;0.110274;-4.58698
-30.8597;198.282;-0.371237;-0.0128858;0.122745;-4.65704
-22.0342;198.282;-0.571981;-0.00793345;0.123747;-4.65134
-13.2088;198.282;-0.599976;0.00151846;0.115662;-4.74676
-4.38334;198.282;-0.463282;0.00821238;0.107337;-4.91795
4.44212;198.282;-0.364679;0.0137182;0.116178;-5.077
13.2676;198.282;-0.290782;0.0203682;0.126481;-5.16771
22.093;198.282;-0.237665;0.026157;0.127725;-5.18165
30.9185;198.282;-0.20546;0.0314555;0.120121;-5.12098
39.7439;198.282;-0.194017;0.0367665;0.10581;-4.99748
48.5694;198.282;-0.199538;0.0402274;0.0911116;-4.82651
57.3948;198.282;-0.240019;0.0425496;0.0819725;-4.59405
66.2203;198.282;-0.284398;0.0447729;0.0811737;-4.32237
75.0458;198.282;-0.313877;0.04494;0.0776623;-4.00987
83.8712;198.282;-0.315215;0.0417701;0.06787;-3.65558
92.6967;198.282;-0.30735;0.0360377;0.0521015;-3.26377
101.522;198.282;-0.292857;0.0286144;0.0389185;-2.84405
110.348;198.282;-0.266497;0.0192796;0.0248708;-2.40081
-101.463;189.456;0.583998;-0.0548465;0.044413;-3.16984
-92.6379;189.456;0.499634;-0.0663051;0.0589216;-3.67451
-83.8124;189.456;0.376132;-0.0711694;0.0758223;-4.12537
-74.987;189.456;0.209713;-0.0604769;0.0881619;-4.50595
-66.1615;189.456;0.0105991;-0.0375553;0.0986264;-4.83308
-57.3361;189.456;-0.165576;-0.0198677;0.102809;-5.05088
-48.5106;189.456;-0.22232;-0.0173545;0.109339;-5.30481
-39.6852;189.456;-0.204346;-0.01479;0.110911;-5.60113
-30.8597;189.456;-0.258025;-0.00983514;0.119115;-5.81707
-22.0342;189.456;-0.310302;-0.00264101;0.121522;-5.95166
-13.2088;189.456;-0.287012;0.00716912;0.11674;-6.08617
-4.38334;189.456;-0.184105;0.0143718;0.111316;-6.23059
4.44212;189.456;-0.130452;0.0189893;0.119387;-6.34015
13.2676;189.456;-0.107682;0.0236491;0.129686;-6.37201
22.093;189.456;-0.107904;0.030365;0.133194;-6.33184
30.9185;189.456;-0.11755;0.0377723;0.127611;-6.23198
39.7439;189.456;-0.125036;0.0436974;0.115698;-6.08752
48.5694;189.456;-0.12687;0.0462288;0.104693;-5.90782
57.3948;189.456;-0.15668;0.0484943;0.0974313;-5.66865
66.2203;189.456;-0.192424;0.0518142;0.0934598;-5.38406
75.0458;189.456;-0.217161;0.053826;0.0865964;-5.05505
83.8712;189.456;-0.224744;0.0527161;0.0752897;-4.6846
92.6967;189.456;-0.224059;0.0480393;0.0619143;-4.27741
101.522;189.456;-0.222112;0.0409593;0.0499132;-3.83728
110.348;189.456;-0.204009;0.032908;0.0373081;-3.35998
119.173;189.456;-0.165647;0.0228989;0.0209811;-2.87076
127.998;189.456;-0.110056;0.011002;0.00487714;-2.35544
136.824;189.456;-0.089791;-0.00497608;-0.016159;-1.77329
-127.94;180.631;0.74136;-0.0463534;0.00337166;-2.37171
-119.114;180.631;0.686113;-0.0583545;0.0229676;-2.96147
-110.289;180.631;0.664279;-0.069536;0.0401288;-3.54814
-101.463;180.631;0.664402;-0.081535;0.0519314;-4.09742
-92.6379;180.631;0.523733;-0.0901221;0.0740311;-4.57946
-83.8124;180.631;0.277093;-0.0915421;0.101336;-4.95566
-74.987;180.631;0.0972331;-0.0760601;0.117451;-5.36682
-66.1615;180.631;0.0192403;-0.0466245;0.115526;-5.82383
-57.3361;180.631;-0.0384827;-0.0241875;0.103157;-6.12621
-48.5106;180.631;-0.169323;-0.0174134;0.108898;-6.37231
-39.6852;180.631;-0.144168;-0.017384;0.110608;-6.65746
-30.8597;180.631;-0.0963;-0.0141536;0.116562;-6.93817
-22.0342;180.631;-0.0527723;-0.00698472;0.11951;-7.14725
-13.2088;180.631;-0.0100783;0.00251969;0.118389;-7.30306
-4.38334;180.631;0.0303358;0.0101069;0.117603;-7.41804
4.44212;180.631;0.0252143;0.0147824;0.124956;-7.48125
13.2676;180.631;0.00450403;0.0206491;0.134769;-7.48147
22.093;180.631;-0.018546;0.0291535;0.139316;-7.42125
30.9185;180.631;-0.0338622;0.0388678;0.136034;-7.31393
39.7439;180.631;-0.0388275;0.046888;0.127078;-7.16755
48.5694;180.631;-0.0408076;0.0503383;0.118614;-6.98071
57.3948;180.631;-0.0684124;0.0531624;0.112099;-6.73348
