x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.38334;224.758;0.115697;-0.0122221;0.0539852;-2.21835
4.44212;224.758;0.0164864;-0.00685564;0.056028;-2.2247
13.2676;224.758;-0.0263853;0.00258776;0.051757;-2.19345
22.093;224.758;-0.0573264;0.00610759;0.0412952;-2.11323
-39.6852;215.933;-0.0236217;-0.015755;0.0755188;-2.54257
-30.8597;215.933;-0.110706;-0.0133678;0.081891;-2.6892
-22.0342;215.933;-0.217603;-0.00985383;0.0762371;-2.76217
-13.2088;215.933;-0.282745;-0.000259121;0.0724212;-2.88204
-4.38334;215.933;-0.258786;-0.00174849;0.077874;-3.01753
4.44212;215.933;-0.243161;0.00062706;0.0858408;-3.10419
13.2676;215.933;-0.236875;0.0080366;0.0883238;-3.10859
22.093;215.933;-0.216982;0.0114951;0.082491;-3.06309
30.9185;215.933;-0.190114;0.0129141;0.0762285;-2.99269
39.7439;215.933;-0.184509;0.0148196;0.0664049;-2.87673
48.5694;215.933;-0.226374;0.0166404;0.0544253;-2.70742
57.3948;215.933;-0.282106;0.0171218;0.0425944;-2.48332
66.2203;215.933;-0.344594;0.01479;0.0403243;-2.22346
75.0458;215.933;-0.390934;0.0114613;0.0377214;-1.93528
-74.987;207.107;0.310109;-0.0388526;0.0537589;-2.44731
-66.1615;207.107;0.220077;-0.030771;0.0646461;-2.76637
-57.3361;207.107;0.0527837;-0.0243741;0.0795511;-3.03189
-48.5106;207.107;-0.00835472;-0.0239864;0.0942036;-3.32579
-39.6852;207.107;-0.0847791;-0.020863;0.10426;-3.54208
-30.8597;207.107;-0.343077;-0.0155189;0.116635;-3.59048
-22.0342;207.107;-0.616261;-0.00897322;0.114971;-3.54684
-13.2088;207.107;-0.691359;0.0014231;0.106171;-3.63047
-4.38334;207.107;-0.578334;0.0058461;0.100549;-3.79987
4.44212;207.107;-0.485139;0.0102532;0.109869;-3.95295
13.2676;207.107;-0.40193;0.0165619;0.116373;-4.02761
22.093;207.107;-0.315914;0.0195676;0.113824;-4.04182
30.9185;207.107;-0.244018;0.0220636;0.105434;-4.00146
39.7439;207.107;-0.213265;0.0266426;0.0910652;-3.89493
48.5694;207.107;-0.231486;0.0300655;0.0748295;-3.72726
57.3948;207.107;-0.284992;0.0311848;0.0646516;-3.49418
66.2203;207.107;-0.341313;0.0307361;0.0637995;-3.22863
75.0458;207.107;-0.380589;0.028302;0.0626266;-2.93098
83.8712;207.107;-0.390712;0.0238562;0.0529216;-2.60021
92.6967;207.107;-0.374898;0.0201485;0.0324576;-2.22495
-110.289;198.282;0.583516;-0.0229708;0.0154998;-1.65169
-101.463;198.282;0.489507;-0.0354776;0.036829;-2.1388
-92.6379;198.282;0.390211;-0.0495003;0.0557194;-2.62153
-83.8124;198.282;0.339983;-0.0560193;0.066676;-3.07593
-74.987;198.282;0.263229;-0.0493201;0.0753138;-3.49259
-66.1615;198.282;0.117529;-0.0346516;0.082791;-3.80303
-57.3361;198.282;-0.0883866;-0.0225807;0.0995558;-4.04899
-48.5106;198.282;-0.117861;-0.0225742;0.110976;-4.32362
-39.6852;198.282;-0.151734;-0.019736;0.117301;-4.55551
-30.8597;198.282;-0.371237;-0.0138883;0.129713;-4.62639
-22.0342;198.282;-0.571981;-0.00877714;0.130154;-4.61961
-13.2088;198.282;-0.599976;0.000210341;0.121348;-4.70953
-4.38334;198.282;-0.463282;0.00648731;0.112311;-4.87306
4.44212;198.282;-0.364679;0.0118512;0.120463;-5.02613
13.2676;198.282;-0.290782;0.0189893;0.129811;-5.11265
22.093;198.282;-0.237665;0.0252041;0.129988;-5.12306
30.9185;198.282;-0.20546;0.0307297;0.121733;-5.06113
39.7439;198.282;-0.194017;0.0359915;0.107415;-4.93849
48.5694;198.282;-0.199538;0.039125;0.0930578;-4.76906
57.3948;198.282;-0.240019;0.0409121;0.0838461;-4.53651
66.2203;198.282;-0.284398;0.0430321;0.0824375;-4.26604
75.0458;198.282;-0.313877;0.0431796;0.0783354;-3.95581
83.8712;198.282;-0.315215;0.0401104;0.068204;-3.6051
92.6967;198.282;-0.30735;0.0349395;0.0519999;-3.21719
101.522;198.282;-0.292857;0.0282654;0.0385372;-2.8019
110.348;198.282;-0.266497;0.0195014;0.0242624;-2.36298
-101.463;189.456;0.583998;-0.057474;0.0516115;-3.14341
-92.6379;189.456;0.499634;-0.0691147;0.06662;-3.64617
-83.8124;189.456;0.376132;-0.0731551;0.082724;-4.09387
-74.987;189.456;0.209713;-0.0616588;0.0945696;-4.47281
-66.1615;189.456;0.0105991;-0.0388281;0.105382;-4.79749
-57.3361;189.456;-0.165576;-0.0219326;0.11023;-5.01409
-48.5106;189.456;-0.22232;-0.0196805;0.117716;-5.2641
-39.6852;189.456;-0.204346;-0.0167521;0.119962;-5.55466
-30.8597;189.456;-0.258025;-0.0109995;0.128181;-5.76767
-22.0342;189.456;-0.310302;-0.00356387;0.130107;-5.89819
-13.2088;189.456;-0.287012;0.00587135;0.124941;-6.02675
-4.38334;189.456;-0.184105;0.0126655;0.119045;-6.16437
4.44212;189.456;-0.130452;0.0172637;0.126157;-6.26862
13.2676;189.456;-0.107682;0.0227222;0.134968;-6.2953
22.093;189.456;-0.107904;0.0299008;0.137243;-6.25224
30.9185;189.456;-0.11755;0.0370622;0.131232;-6.15278
39.7439;189.456;-0.125036;0.0423423;0.11952;-6.01087
48.5694;189.456;-0.12687;0.0446993;0.108231;-5.83235
57.3948;189.456;-0.15668;0.0471971;0.100567;-5.59295
66.2203;189.456;-0.192424;0.0508324;0.0961863;-5.31094
75.0458;189.456;-0.217161;0.0529113;0.0890636;-4.98684
83.8712;189.456;-0.224744;0.0517727;0.0776308;-4.62237
92.6967;189.456;-0.224059;0.0474052;0.0639462;-4.21954
101.522;189.456;-0.222112;0.0405946;0.0516556;-3.78379
110.348;189.456;-0.204009;0.0327243;0.0385831;-3.31073
119.173;189.456;-0.165647;0.0226607;0.021717;-2.82512
127.998;189.456;-0.110056;0.0109309;0.00455545;-2.31397
136.824;189.456;-0.089791;-0.00502589;-0.0173451;-1.73424
-127.94;180.631;0.74136;-0.0465274;0.00821152;-2.34586
-119.114;180.631;0.686113;-0.0585615;0.0284836;-2.92989
-110.289;180.631;0.664279;-0.0704289;0.0468489;-3.51177
-101.463;180.631;0.664402;-0.0833434;0.0599624;-4.05899
-92.6379;180.631;0.523733;-0.092363;0.0829216;-4.54082
-83.8124;180.631;0.277093;-0.0936554;0.110082;-4.91786
-74.987;180.631;0.0972331;-0.0777859;0.126067;-5.32749
-66.1615;180.631;0.0192403;-0.0482223;0.124361;-5.77742
-57.3361;180.631;-0.0384827;-0.0258375;0.112869;-6.07481
-48.5106;180.631;-0.169323;-0.0190717;0.120362;-6.31677
-39.6852;180.631;-0.144168;-0.018661;0.12309;-6.59585
-30.8597;180.631;-0.0963;-0.015023;0.127886;-6.86992
-22.0342;180.631;-0.0527723;-0.00784048;0.129624;-7.07129
-13.2088;180.631;-0.0100783;0.00133654;0.128166;-7.22027
-4.38334;180.631;0.0303358;0.00850853;0.127166;-7.33
4.44212;180.631;0.0252143;0.0130244;0.13322;-7.38855
13.2676;180.631;0.00450403;0.0196648;0.141027;-7.38143
22.093;180.631;-0.018546;0.0285678;0.144357;-7.31782
30.9185;180.631;-0.0338622;0.0376698;0.141164;-7.21248
39.7439;180.631;-0.0388275;0.0445924;0.132764;-7.0704
48.5694;180.631;-0.0408076;0.0479063;0.123474;-6.88388
57.3948;180.631;-0.0684124;0.0513235;0.11665;-6.63638
66.2203;180.631;-0.0989539;0.0554334;0.109988;-6.34554
75.0458;180.631;-0.11699;0.0586617;0.101599;-6.01392
83.8712;180.631;-0.123474;0.0597923;0.0917569;-5.63879
92.6967;180.631;-0.135698;0.0583782;0.0813843;-5.21542
