x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.38334;224.758;0.115697;-0.0298647;0.0461941;-1.6465
4.44212;224.758;0.0164864;-0.0254228;0.0459369;-1.63912
13.2676;224.758;-0.0263853;-0.0210603;0.049085;-1.61872
22.093;224.758;-0.0573264;-0.0190602;0.0457156;-1.56208
-39.6852;215.933;-0.0236217;-0.0402439;0.0698607;-1.89291
-30.8597;215.933;-0.110706;-0.0380225;0.0752614;-2.00493
-22.0342;215.933;-0.217603;-0.0343771;0.0716105;-2.06076
-13.2088;215.933;-0.282745;-0.0261873;0.0645941;-2.14321
-4.38334;215.933;-0.258786;-0.0230809;0.0589873;-2.21958
4.44212;215.933;-0.243161;-0.0203684;0.0602069;-2.26742
13.2676;215.933;-0.236875;-0.0180006;0.0679684;-2.27686
22.093;215.933;-0.216982;-0.0165449;0.067599;-2.25015
30.9185;215.933;-0.190114;-0.0151376;0.0626739;-2.1958
39.7439;215.933;-0.184509;-0.0143443;0.0573408;-2.1102
48.5694;215.933;-0.226374;-0.0146515;0.0545162;-1.99025
57.3948;215.933;-0.282106;-0.0132712;0.0499882;-1.81977
66.2203;215.933;-0.344594;-0.0132803;0.0479503;-1.61744
75.0458;215.933;-0.390934;-0.0146785;0.0441245;-1.39325
-74.987;207.107;0.310109;-0.0462467;0.0601606;-1.8095
-66.1615;207.107;0.220077;-0.0416909;0.0679927;-2.05113
-57.3361;207.107;0.0527837;-0.0396873;0.0760095;-2.24509
-48.5106;207.107;-0.00835472;-0.0407988;0.0807069;-2.45723
-39.6852;207.107;-0.0847791;-0.0394503;0.0855964;-2.61278
-30.8597;207.107;-0.343077;-0.0354047;0.0956651;-2.64231
-22.0342;207.107;-0.616261;-0.031451;0.0970653;-2.60827
-13.2088;207.107;-0.691359;-0.0256896;0.0898182;-2.67074
-4.38334;207.107;-0.578334;-0.0227606;0.0804901;-2.78856
4.44212;207.107;-0.485139;-0.0188555;0.0827474;-2.88981
13.2676;207.107;-0.40193;-0.0165759;0.0905701;-2.95023
22.093;207.107;-0.315914;-0.0145046;0.0901335;-2.96439
30.9185;207.107;-0.244018;-0.0108567;0.0820776;-2.93094
39.7439;207.107;-0.213265;-0.00630034;0.0715579;-2.84979
48.5694;207.107;-0.231486;-0.0054291;0.0655829;-2.73446
57.3948;207.107;-0.284992;-0.00454986;0.06262;-2.56247
66.2203;207.107;-0.341313;-0.00464389;0.0634428;-2.36504
75.0458;207.107;-0.380589;-0.00732044;0.0625917;-2.14118
83.8712;207.107;-0.390712;-0.0110191;0.0584971;-1.9002
92.6967;207.107;-0.374898;-0.011985;0.0507917;-1.62687
-110.289;198.282;0.583516;-0.0323489;0.0391137;-1.17394
-101.463;198.282;0.489507;-0.0432645;0.052619;-1.55446
-92.6379;198.282;0.390211;-0.0543363;0.0659596;-1.93192
-83.8124;198.282;0.339983;-0.0588415;0.0733084;-2.28405
-74.987;198.282;0.263229;-0.0544583;0.0805587;-2.60761
-66.1615;198.282;0.117529;-0.0455412;0.0864847;-2.84102
-57.3361;198.282;-0.0883866;-0.0385801;0.0944218;-3.01174
-48.5106;198.282;-0.117861;-0.0382458;0.0955193;-3.19406
-39.6852;198.282;-0.151734;-0.0352029;0.0956749;-3.3454
-30.8597;198.282;-0.371237;-0.0315847;0.10514;-3.38587
-22.0342;198.282;-0.571981;-0.030761;0.108216;-3.38304
-13.2088;198.282;-0.599976;-0.0276801;0.102329;-3.457
-4.38334;198.282;-0.463282;-0.0245397;0.0931349;-3.57756
4.44212;198.282;-0.364679;-0.0202648;0.0954071;-3.68129
13.2676;198.282;-0.290782;-0.0179765;0.104199;-3.74869
22.093;198.282;-0.237665;-0.0145689;0.105006;-3.75676
30.9185;198.282;-0.20546;-0.00860664;0.0970958;-3.70527
39.7439;198.282;-0.194017;-0.00187826;0.0850563;-3.60773
48.5694;198.282;-0.199538;0.000124242;0.0778259;-3.48873
57.3948;198.282;-0.240019;0.00100449;0.0745989;-3.32303
66.2203;198.282;-0.284398;0.00257148;0.0771427;-3.13391
75.0458;198.282;-0.313877;0.00132783;0.0767961;-2.91136
83.8712;198.282;-0.315215;-0.00147345;0.0725525;-2.65581
92.6967;198.282;-0.30735;-0.00348949;0.0652531;-2.37185
101.522;198.282;-0.292857;-0.00436553;0.0594051;-2.06014
110.348;198.282;-0.266497;-0.00891962;0.0476836;-1.71953
-101.463;189.456;0.583998;-0.0563832;0.0599534;-2.30471
-92.6379;189.456;0.499634;-0.064759;0.071105;-2.69181
-83.8124;189.456;0.376132;-0.0699497;0.0854182;-3.04377
-74.987;189.456;0.209713;-0.0649446;0.0972066;-3.34317
-66.1615;189.456;0.0105991;-0.0508189;0.106083;-3.58349
-57.3361;189.456;-0.165576;-0.0391868;0.106262;-3.7272
-48.5106;189.456;-0.22232;-0.0379721;0.10618;-3.89035
-39.6852;189.456;-0.204346;-0.0340017;0.102095;-4.07994
-30.8597;189.456;-0.258025;-0.0304502;0.108044;-4.23137
-22.0342;189.456;-0.310302;-0.0282004;0.11027;-4.33325
-13.2088;189.456;-0.287012;-0.0239778;0.105946;-4.43509
-4.38334;189.456;-0.184105;-0.0189085;0.0993551;-4.53245
4.44212;189.456;-0.130452;-0.0147985;0.102262;-4.59625
13.2676;189.456;-0.107682;-0.0144484;0.109962;-4.61227
22.093;189.456;-0.107904;-0.0120329;0.112089;-4.57717
30.9185;189.456;-0.11755;-0.00624097;0.10593;-4.49608
39.7439;189.456;-0.125036;0.000380316;0.0950935;-4.38187
48.5694;189.456;-0.12687;0.00263247;0.0886437;-4.25376
57.3948;189.456;-0.15668;0.00453956;0.0861021;-4.0878
66.2203;189.456;-0.192424;0.00802618;0.0880886;-3.8987
75.0458;189.456;-0.217161;0.00944276;0.0882314;-3.67665
83.8712;189.456;-0.224744;0.00790653;0.0841819;-3.41875
92.6967;189.456;-0.224059;0.00538834;0.0761965;-3.12259
101.522;189.456;-0.222112;0.00280081;0.0696726;-2.79751
110.348;189.456;-0.204009;-0.00158382;0.059484;-2.43813
119.173;189.456;-0.165647;-0.0083352;0.0452031;-2.07006
127.998;189.456;-0.110056;-0.0145153;0.0330055;-1.69129
136.824;189.456;-0.089791;-0.0229788;0.0226534;-1.26014
-127.94;180.631;0.74136;-0.0492149;0.0312197;-1.68373
-119.114;180.631;0.686113;-0.0561593;0.0438913;-2.11445
-110.289;180.631;0.664279;-0.0635701;0.0550066;-2.54914
-101.463;180.631;0.664402;-0.0712323;0.0617725;-2.95913
-92.6379;180.631;0.523733;-0.0784138;0.0793773;-3.33271
-83.8124;180.631;0.277093;-0.0856117;0.102732;-3.64336
-74.987;180.631;0.0972331;-0.0784971;0.115794;-3.96511
-66.1615;180.631;0.0192403;-0.0572307;0.112838;-4.28813
