x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.38334;224.758;0.115697;-0.0129644;0.0547077;-2.22576
4.44212;224.758;0.0164864;-0.00687384;0.0560133;-2.23089
13.2676;224.758;-0.0263853;0.00294668;0.0528578;-2.20496
22.093;224.758;-0.0573264;0.00653891;0.0432061;-2.13051
-39.6852;215.933;-0.0236217;-0.0155468;0.0730712;-2.55131
-30.8597;215.933;-0.110706;-0.0136736;0.0797742;-2.69828
-22.0342;215.933;-0.217603;-0.0105315;0.0753832;-2.77396
-13.2088;215.933;-0.282745;-0.00102125;0.0723581;-2.89584
-4.38334;215.933;-0.258786;-0.00191601;0.0774354;-3.03089
4.44212;215.933;-0.243161;0.00109656;0.0849232;-3.1171
13.2676;215.933;-0.236875;0.00874685;0.0884572;-3.12617
22.093;215.933;-0.216982;0.0119784;0.0835502;-3.0855
30.9185;215.933;-0.190114;0.012893;0.0773893;-3.01628
39.7439;215.933;-0.184509;0.014657;0.0667224;-2.89904
48.5694;215.933;-0.226374;0.0167584;0.0539145;-2.72782
57.3948;215.933;-0.282106;0.0176545;0.0419968;-2.50389
66.2203;215.933;-0.344594;0.0158959;0.0405821;-2.24623
75.0458;215.933;-0.390934;0.0123966;0.0386018;-1.95727
-74.987;207.107;0.310109;-0.0395542;0.0525517;-2.46268
-66.1615;207.107;0.220077;-0.0313315;0.0625255;-2.78121
-57.3361;207.107;0.0527837;-0.0240276;0.0762152;-3.04672
-48.5106;207.107;-0.00835472;-0.0231281;0.0896413;-3.3409
-39.6852;207.107;-0.0847791;-0.0201205;0.0993743;-3.55756
-30.8597;207.107;-0.343077;-0.0152396;0.112104;-3.60446
-22.0342;207.107;-0.616261;-0.0092788;0.111637;-3.56096
-13.2088;207.107;-0.691359;0.00107314;0.103662;-3.64792
-4.38334;207.107;-0.578334;0.00609762;0.0981922;-3.82073
4.44212;207.107;-0.485139;0.0111911;0.107508;-3.97652
13.2676;207.107;-0.40193;0.017626;0.11469;-4.05382
22.093;207.107;-0.315914;0.0203987;0.112877;-4.07198
30.9185;207.107;-0.244018;0.0222778;0.104885;-4.03357
39.7439;207.107;-0.213265;0.0264258;0.0903056;-3.9274
48.5694;207.107;-0.231486;0.0301243;0.0734481;-3.75898
57.3948;207.107;-0.284992;0.0319357;0.0629962;-3.5261
66.2203;207.107;-0.341313;0.0319039;0.0627088;-3.26096
75.0458;207.107;-0.380589;0.0292353;0.0620157;-2.96177
83.8712;207.107;-0.390712;0.0242651;0.0530019;-2.62844
92.6967;207.107;-0.374898;0.0197746;0.0335796;-2.25106
-110.289;198.282;0.583516;-0.0233599;0.0132642;-1.6619
-101.463;198.282;0.489507;-0.0345025;0.0330453;-2.15172
-92.6379;198.282;0.390211;-0.0481979;0.0507138;-2.63689
-83.8124;198.282;0.339983;-0.0553685;0.0617509;-3.09428
-74.987;198.282;0.263229;-0.0493407;0.0706468;-3.51236
-66.1615;198.282;0.117529;-0.0347255;0.0783221;-3.82451
-57.3361;198.282;-0.0883866;-0.0218604;0.0947248;-4.07251
-48.5106;198.282;-0.117861;-0.0213355;0.105232;-4.34958
-39.6852;198.282;-0.151734;-0.018506;0.110725;-4.58239
-30.8597;198.282;-0.371237;-0.0132951;0.122809;-4.6514
-22.0342;198.282;-0.571981;-0.00872998;0.123866;-4.64509
-13.2088;198.282;-0.599976;0.000314164;0.115758;-4.73977
-4.38334;198.282;-0.463282;0.00709402;0.107187;-4.90915
4.44212;198.282;-0.364679;0.0128925;0.115711;-5.0667
13.2676;198.282;-0.290782;0.0197397;0.126103;-5.15651
22.093;198.282;-0.237665;0.0256449;0.127082;-5.16947
30.9185;198.282;-0.20546;0.0308803;0.119318;-5.10853
39.7439;198.282;-0.194017;0.0359647;0.105134;-4.986
48.5694;198.282;-0.199538;0.0393254;0.0906708;-4.81599
57.3948;198.282;-0.240019;0.0415666;0.0813611;-4.58385
66.2203;198.282;-0.284398;0.0436422;0.0805833;-4.31264
75.0458;198.282;-0.313877;0.0434799;0.0769338;-3.99985
83.8712;198.282;-0.315215;0.0401037;0.0671008;-3.64513
92.6967;198.282;-0.30735;0.0345384;0.0514697;-3.25363
101.522;198.282;-0.292857;0.0274172;0.0384984;-2.8354
110.348;198.282;-0.266497;0.0183105;0.0241225;-2.39274
-101.463;189.456;0.583998;-0.0565317;0.0458571;-3.1697
-92.6379;189.456;0.499634;-0.0677432;0.0596966;-3.67383
-83.8124;189.456;0.376132;-0.0722452;0.0760021;-4.1238
-74.987;189.456;0.209713;-0.0612357;0.0882383;-4.50374
-66.1615;189.456;0.0105991;-0.0383386;0.0995554;-4.83198
-57.3361;189.456;-0.165576;-0.0210263;0.104325;-5.05094
-48.5106;189.456;-0.22232;-0.018431;0.11057;-5.30372
-39.6852;189.456;-0.204346;-0.0155343;0.111494;-5.59752
-30.8597;189.456;-0.258025;-0.0102875;0.119152;-5.81126
-22.0342;189.456;-0.310302;-0.0031728;0.121467;-5.94465
-13.2088;189.456;-0.287012;0.00633328;0.116641;-6.07823
-4.38334;189.456;-0.184105;0.0134423;0.111066;-6.22146
4.44212;189.456;-0.130452;0.0182164;0.118859;-6.33041
13.2676;189.456;-0.107682;0.0230627;0.129111;-6.36188
22.093;189.456;-0.107904;0.0298256;0.132359;-6.32023
30.9185;189.456;-0.11755;0.0371083;0.126653;-6.21949
39.7439;189.456;-0.125036;0.0428082;0.114802;-6.07545
48.5694;189.456;-0.12687;0.0452753;0.103826;-5.89632
57.3948;189.456;-0.15668;0.0474837;0.0966469;-5.65758
