x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.38334;224.758;0.115697;-0.0200422;0.0687747;-2.20574
4.44212;224.758;0.0164864;-0.0142577;0.0708545;-2.21248
13.2676;224.758;-0.0263853;-0.00457005;0.0666827;-2.18265
22.093;224.758;-0.0573264;-0.00088849;0.0555478;-2.10336
-39.6852;215.933;-0.0236217;-0.0219794;0.0866753;-2.52572
-30.8597;215.933;-0.110706;-0.0200692;0.0935269;-2.6729
-22.0342;215.933;-0.217603;-0.0169659;0.0882345;-2.74641
-13.2088;215.933;-0.282745;-0.00754825;0.0845432;-2.86885
-4.38334;215.933;-0.258786;-0.00917234;0.0910006;-3.00719
4.44212;215.933;-0.243161;-0.00687147;0.0994528;-3.09523
13.2676;215.933;-0.236875;0.000645745;0.102359;-3.10307
22.093;215.933;-0.216982;0.00421364;0.0965695;-3.05967
30.9185;215.933;-0.190114;0.0059563;0.0906155;-2.99161
39.7439;215.933;-0.184509;0.0079788;0.0807626;-2.87611
48.5694;215.933;-0.226374;0.00985274;0.0680103;-2.70448
57.3948;215.933;-0.282106;0.0103842;0.0556203;-2.47736
66.2203;215.933;-0.344594;0.00829071;0.0540716;-2.21909
75.0458;215.933;-0.390934;0.00476952;0.0520058;-1.93131
-74.987;207.107;0.310109;-0.0462855;0.0654773;-2.43846
-66.1615;207.107;0.220077;-0.03799;0.0750234;-2.75514
-57.3361;207.107;0.0527837;-0.0307475;0.0885452;-3.01926
-48.5106;207.107;-0.00835472;-0.0300554;0.102445;-3.31429
-39.6852;207.107;-0.0847791;-0.0269995;0.112725;-3.53346
-30.8597;207.107;-0.343077;-0.0216414;0.125326;-3.5802
-22.0342;207.107;-0.616261;-0.0152312;0.123763;-3.53418
-13.2088;207.107;-0.691359;-0.00494953;0.115293;-3.62048
-4.38334;207.107;-0.578334;-0.000675721;0.110745;-3.79508
4.44212;207.107;-0.485139;0.00365491;0.121016;-3.95304
13.2676;207.107;-0.40193;0.00972948;0.128135;-4.03157
22.093;207.107;-0.315914;0.0126791;0.126035;-4.04863
30.9185;207.107;-0.244018;0.0153164;0.118163;-4.01102
39.7439;207.107;-0.213265;0.0198838;0.103926;-3.90576
48.5694;207.107;-0.231486;0.0233832;0.0868901;-3.73635
57.3948;207.107;-0.284992;0.0248433;0.0760573;-3.50065
66.2203;207.107;-0.341313;0.0248681;0.0758085;-3.23569
75.0458;207.107;-0.380589;0.0223639;0.0752397;-2.93677
83.8712;207.107;-0.390712;0.0176162;0.0663198;-2.60269
92.6967;207.107;-0.374898;0.0132208;0.0468988;-2.22427
-110.289;198.282;0.583516;-0.0277919;0.0262133;-1.63795
-101.463;198.282;0.489507;-0.0400246;0.0466585;-2.12862
-92.6379;198.282;0.390211;-0.0547608;0.0650307;-2.61602
-83.8124;198.282;0.339983;-0.0617477;0.0756108;-3.07302
-74.987;198.282;0.263229;-0.0552543;0.0838896;-3.48976
-66.1615;198.282;0.117529;-0.0405195;0.0903158;-3.79863
-57.3361;198.282;-0.0883866;-0.0282044;0.106158;-4.04445
-48.5106;198.282;-0.117861;-0.0284265;0.117312;-4.32303
-39.6852;198.282;-0.151734;-0.025658;0.123486;-4.55888
-30.8597;198.282;-0.371237;-0.0197293;0.135728;-4.62896
-22.0342;198.282;-0.571981;-0.0146682;0.136135;-4.62164
-13.2088;198.282;-0.599976;-0.005775;0.12769;-4.71601
-4.38334;198.282;-0.463282;0.000330421;0.119472;-4.88654
4.44212;198.282;-0.364679;0.00560029;0.128546;-5.04552
13.2676;198.282;-0.290782;0.0123082;0.139014;-5.13727
22.093;198.282;-0.237665;0.0183993;0.139926;-5.1499
30.9185;198.282;-0.20546;0.0241272;0.132013;-5.08846
39.7439;198.282;-0.194017;0.0295416;0.117685;-4.96539
48.5694;198.282;-0.199538;0.032676;0.103136;-4.79493
57.3948;198.282;-0.240019;0.0346663;0.0941683;-4.56123
66.2203;198.282;-0.284398;0.0370604;0.0937099;-4.29052
75.0458;198.282;-0.313877;0.0372096;0.0900572;-3.97751
83.8712;198.282;-0.315215;0.0338974;0.0801283;-3.62249
92.6967;198.282;-0.30735;0.0281228;0.0646142;-3.23102
101.522;198.282;-0.292857;0.0207542;0.0518538;-2.81263
110.348;198.282;-0.266497;0.0116061;0.0375243;-2.36991
-101.463;189.456;0.583998;-0.0629226;0.0595814;-3.14842
-92.6379;189.456;0.499634;-0.0744797;0.0737932;-3.65401
-83.8124;189.456;0.376132;-0.078165;0.0894767;-4.10311
-74.987;189.456;0.209713;-0.0662396;0.100974;-4.4813
-66.1615;189.456;0.0105991;-0.0432718;0.110685;-4.80706
-57.3361;189.456;-0.165576;-0.0268281;0.114693;-5.02472
-48.5106;189.456;-0.22232;-0.0251679;0.121598;-5.27854
-39.6852;189.456;-0.204346;-0.022382;0.123411;-5.57488
-30.8597;189.456;-0.258025;-0.0167492;0.1317;-5.7915
-22.0342;189.456;-0.310302;-0.0094748;0.133939;-5.92614
-13.2088;189.456;-0.287012;-0.00017436;0.129058;-6.06067
-4.38334;189.456;-0.184105;0.00654534;0.123442;-6.20473
4.44212;189.456;-0.130452;0.0112209;0.131058;-6.31348
13.2676;189.456;-0.107682;0.0161097;0.141311;-6.3456
22.093;189.456;-0.107904;0.0230502;0.144678;-6.30391
30.9185;189.456;-0.11755;0.030659;0.138852;-6.20243
39.7439;189.456;-0.125036;0.0365871;0.126829;-6.05709
48.5694;189.456;-0.12687;0.0387868;0.115986;-5.87748
57.3948;189.456;-0.15668;0.0408194;0.109261;-5.63829
66.2203;189.456;-0.192424;0.0442896;0.105826;-5.35498
75.0458;189.456;-0.217161;0.0464202;0.0988969;-5.02612
83.8712;189.456;-0.224744;0.0453419;0.087224;-4.65525
92.6967;189.456;-0.224059;0.0405081;0.0739289;-4.24841
101.522;189.456;-0.222112;0.0331402;0.06264;-3.80855
110.348;189.456;-0.204009;0.0250562;0.0501827;-3.33001
119.173;189.456;-0.165647;0.0151786;0.0340955;-2.83944
127.998;189.456;-0.110056;0.00381436;0.0178319;-2.32453
136.824;189.456;-0.089791;-0.0118995;-0.00257461;-1.7443
-127.94;180.631;0.74136;-0.0530727;0.0169325;-2.35484
-119.114;180.631;0.686113;-0.0654968;0.0371649;-2.94519
-110.289;180.631;0.664279;-0.0778744;0.055199;-3.53216
-101.463;180.631;0.664402;-0.0905297;0.0669718;-4.0809
-92.6379;180.631;0.523733;-0.0987406;0.0885353;-4.56098
-83.8124;180.631;0.277093;-0.0986688;0.115112;-4.93519
-74.987;180.631;0.0972331;-0.0819832;0.130592;-5.34615
-66.1615;180.631;0.0192403;-0.0525331;0.127763;-5.80384
-57.3361;180.631;-0.0384827;-0.0310139;0.115183;-6.107
-48.5106;180.631;-0.169323;-0.0247789;0.121326;-6.35252
-39.6852;180.631;-0.144168;-0.0245063;0.123276;-6.63662
-30.8597;180.631;-0.0963;-0.0210703;0.128927;-6.9175
-22.0342;180.631;-0.0527723;-0.0140719;0.131773;-7.12668
-13.2088;180.631;-0.0100783;-0.00495799;0.13069;-7.28225
-4.38334;180.631;0.0303358;0.00237649;0.129532;-7.39625
4.44212;180.631;0.0252143;0.00724949;0.135731;-7.45765
13.2676;180.631;0.00450403;0.0132251;0.145158;-7.45741
22.093;180.631;-0.018546;0.0218058;0.149823;-7.39664
30.9185;180.631;-0.0338622;0.0316359;0.146733;-7.28819
39.7439;180.631;-0.0388275;0.0396925;0.137728;-7.1402
48.5694;180.631;-0.0408076;0.0428442;0.128935;-6.95208
57.3948;180.631;-0.0684124;0.045265;0.12296;-6.70397
66.2203;180.631;-0.0989539;0.0488429;0.116779;-6.40908
75.0458;180.631;-0.11699;0.0520691;0.108716;-6.07085
83.8712;180.631;-0.123474;0.0532808;0.0992509;-5.68876
92.6967;180.631;-0.135698;0.0514438;0.0896367;-5.26055
101.522;180.631;-0.159817;0.0462001;0.0800837;-4.78764
110.348;180.631;-0.164297;0.0364442;0.0651514;-4.27635
119.173;180.631;-0.142405;0.0252434;0.0472554;-3.74464
127.998;180.631;-0.0925073;0.0156815;0.0307964;-3.20615
136.824;180.631;-0.0336097;0.00429972;0.0167829;-2.6629
145.649;180.631;-0.0379364;-0.00887158;-0.0056;-2.02788
154.475;180.631;-0.0880527;-0.0309056;-0.0344776;-1.29034
-136.765;171.805;0.823981;-0.0651327;0.018517;-2.60128
-127.94;171.805;0.752558;-0.0748899;0.0362968;-3.22263
-119.114;171.805;0.659385;-0.0873348;0.058486;-3.83551
-110.289;171.805;0.605675;-0.10147;0.0769145;-4.43704
-101.463;171.805;0.586648;-0.113476;0.0879784;-4.98787
-92.6379;171.805;0.353907;-0.119735;0.117323;-5.42296
-83.8124;171.805;0.0423124;-0.118526;0.154945;-5.79512
-74.987;171.805;0.0235992;-0.101228;0.163845;-6.2801
-66.1615;171.805;0.190632;-0.0703016;0.140055;-6.85474
-57.3361;171.805;0.257199;-0.0456135;0.115236;-7.25841
-48.5106;171.805;0.104918;-0.0365027;0.122056;-7.51539
-39.6852;171.805;0.0433318;-0.0318497;0.135242;-7.76576
-30.8597;171.805;0.0524267;-0.0260893;0.147625;-8.0272
-22.0342;171.805;0.0785416;-0.0180135;0.152876;-8.22978
-13.2088;171.805;0.0910024;-0.00798121;0.153293;-8.36818
-4.38334;171.805;0.078394;0.00175021;0.153549;-8.45103
4.44212;171.805;0.0379231;0.00921481;0.156669;-8.48623
13.2676;171.805;0.0116114;0.0151302;0.163827;-8.48472
22.093;171.805;0.000758321;0.0238299;0.169039;-8.43705
30.9185;171.805;0.00878433;0.0345929;0.167482;-8.34413
39.7439;171.805;0.025114;0.0445909;0.159453;-8.20452
48.5694;171.805;0.0270535;0.0503726;0.150347;-8.01051
57.3948;171.805;0.00249064;0.0544419;0.142818;-7.75476
66.2203;171.805;-0.0158436;0.0586437;0.134427;-7.45539
75.0458;171.805;-0.019499;0.0623895;0.125201;-7.11365
83.8712;171.805;-0.0225791;0.0647892;0.117217;-6.72078
92.6967;171.805;-0.0516835;0.0650925;0.111944;-6.2668
101.522;171.805;-0.107861;0.0625556;0.104446;-5.76112
110.348;171.805;-0.127719;0.0540123;0.0858519;-5.22353
119.173;171.805;-0.118421;0.0434702;0.0640311;-4.6624
127.998;171.805;-0.0956692;0.0333975;0.0459221;-4.08256
136.824;171.805;-0.0720438;0.0241681;0.0325603;-3.49235
145.649;171.805;-0.000470801;0.00807341;0.0151098;-2.89789
154.475;171.805;-0.0605814;-0.0081025;-0.00596519;-2.18723
163.3;171.805;-0.197614;-0.0309613;-0.0228492;-1.42671
-145.591;162.98;0.837597;-0.0731429;0.0227181;-2.74811
-136.765;162.98;0.816915;-0.0846777;0.0382893;-3.42807
-127.94;162.98;0.763065;-0.0925416;0.0563988;-4.09114
-119.114;162.98;0.671533;-0.102692;0.0763567;-4.70922
-110.289;162.98;0.60992;-0.114098;0.0915554;-5.31218
-101.463;162.98;0.578392;-0.123714;0.0998868;-5.86296
-92.6379;162.98;0.369591;-0.129379;0.126323;-6.34051
-83.8124;162.98;0.145807;-0.128013;0.15668;-6.77507
-74.987;162.98;0.285139;-0.109934;0.155811;-7.32926
-66.1615;162.98;0.504146;-0.0790453;0.125853;-7.91148
-57.3361;162.98;0.49011;-0.0524128;0.107133;-8.34628
-48.5106;162.98;0.316794;-0.0426758;0.12243;-8.61234
-39.6852;162.98;0.244764;-0.0357862;0.144671;-8.85812
-30.8597;162.98;0.227106;-0.0283284;0.164965;-9.09908
-22.0342;162.98;0.207122;-0.019589;0.176321;-9.2876
-13.2088;162.98;0.171305;-0.00854556;0.1805;-9.41233
-4.38334;162.98;0.1276;0.00391787;0.182371;-9.48156
4.44212;162.98;0.0853959;0.0142361;0.184195;-9.5141
13.2676;162.98;0.0692868;0.0215622;0.188649;-9.52118
22.093;162.98;0.0652888;0.031552;0.192183;-9.48138
30.9185;162.98;0.0765865;0.0429724;0.191342;-9.39329
39.7439;162.98;0.0964684;0.0530646;0.185745;-9.25659
48.5694;162.98;0.107276;0.059264;0.179242;-9.06354
57.3948;162.98;0.0852653;0.064553;0.170145;-8.79682
66.2203;162.98;0.0618384;0.0698412;0.157868;-8.47868
75.0458;162.98;0.0532975;0.0743996;0.145494;-8.1198
83.8712;162.98;0.0460011;0.077713;0.136521;-7.71276
