x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.38334;224.758;0.115697;-0.0199684;0.0659167;-2.19883
4.44212;224.758;0.0164864;-0.0140971;0.0666585;-2.20127
13.2676;224.758;-0.0263853;-0.00441153;0.0615449;-2.16722
22.093;224.758;-0.0573264;-0.000773251;0.0512383;-2.08835
-39.6852;215.933;-0.0236217;-0.0220779;0.0864106;-2.51775
-30.8597;215.933;-0.110706;-0.0204828;0.0930905;-2.66569
-22.0342;215.933;-0.217603;-0.0175242;0.0884137;-2.74238
-13.2088;215.933;-0.282745;-0.00804229;0.0848855;-2.8638
-4.38334;215.933;-0.258786;-0.009513;0.0905127;-2.99844
4.44212;215.933;-0.243161;-0.00681501;0.0975886;-3.08189
13.2676;215.933;-0.236875;0.00068753;0.0988275;-3.08309
22.093;215.933;-0.216982;0.00390614;0.0929026;-3.03792
30.9185;215.933;-0.190114;0.00498286;0.087511;-2.96985
39.7439;215.933;-0.184509;0.00686785;0.0783255;-2.85549
48.5694;215.933;-0.226374;0.00904567;0.0663243;-2.6864
57.3948;215.933;-0.282106;0.0101043;0.0544819;-2.46133
66.2203;215.933;-0.344594;0.00759969;0.0518967;-2.20117
75.0458;215.933;-0.390934;0.00374289;0.0489127;-1.91359
-74.987;207.107;0.310109;-0.0463662;0.0655764;-2.42782
-66.1615;207.107;0.220077;-0.0381779;0.0770458;-2.74873
-57.3361;207.107;0.0527837;-0.0314236;0.09129;-3.0126
-48.5106;207.107;-0.00835472;-0.0305758;0.105415;-3.30359
-39.6852;207.107;-0.0847791;-0.0274992;0.115353;-3.51882
-30.8597;207.107;-0.343077;-0.0226045;0.127957;-3.5687
-22.0342;207.107;-0.616261;-0.0164707;0.126563;-3.52679
-13.2088;207.107;-0.691359;-0.00601639;0.117908;-3.61013
-4.38334;207.107;-0.578334;-0.00145533;0.1125;-3.77792
4.44212;207.107;-0.485139;0.00302368;0.121279;-3.92873
13.2676;207.107;-0.40193;0.00910436;0.126937;-4.00188
22.093;207.107;-0.315914;0.0116461;0.124248;-4.01613
30.9185;207.107;-0.244018;0.0138835;0.116625;-3.978
39.7439;207.107;-0.213265;0.0185051;0.103018;-3.87351
48.5694;207.107;-0.231486;0.0222709;0.0868468;-3.70622
57.3948;207.107;-0.284992;0.024021;0.0761496;-3.47207
66.2203;207.107;-0.341313;0.0236893;0.0750852;-3.2071
75.0458;207.107;-0.380589;0.0208031;0.0738357;-2.90999
83.8712;207.107;-0.390712;0.0158864;0.0648799;-2.58007
92.6967;207.107;-0.374898;0.0118829;0.0453635;-2.20521
-110.289;198.282;0.583516;-0.0290898;0.0249215;-1.62117
-101.463;198.282;0.489507;-0.042216;0.0476906;-2.11442
-92.6379;198.282;0.390211;-0.0562728;0.0665909;-2.5989
-83.8124;198.282;0.339983;-0.0623565;0.0771734;-3.05198
-74.987;198.282;0.263229;-0.0555241;0.0855367;-3.46711
-66.1615;198.282;0.117529;-0.0410223;0.0937603;-3.77954
-57.3361;198.282;-0.0883866;-0.0297081;0.110571;-4.02711
-48.5106;198.282;-0.117861;-0.0297775;0.122288;-4.30136
-39.6852;198.282;-0.151734;-0.0269484;0.129102;-4.53419
-30.8597;198.282;-0.371237;-0.0212393;0.142222;-4.60803
-22.0342;198.282;-0.571981;-0.0162498;0.142434;-4.6013
-13.2088;198.282;-0.599976;-0.00713476;0.133107;-4.68966
-4.38334;198.282;-0.463282;-0.000721649;0.123777;-4.85112
4.44212;198.282;-0.364679;0.00454055;0.131731;-5.00273
13.2676;198.282;-0.290782;0.0111834;0.140774;-5.08936
22.093;198.282;-0.237665;0.0170674;0.140873;-5.10037
30.9185;198.282;-0.20546;0.0226773;0.132863;-5.03953
39.7439;198.282;-0.194017;0.028262;0.118834;-4.91751
48.5694;198.282;-0.199538;0.0317413;0.104658;-4.74794
57.3948;198.282;-0.240019;0.0340374;0.095691;-4.51523
66.2203;198.282;-0.284398;0.0363828;0.0948686;-4.24743
75.0458;198.282;-0.313877;0.0361512;0.0910262;-3.93918
83.8712;198.282;-0.315215;0.0326205;0.081099;-3.58897
92.6967;198.282;-0.30735;0.0271356;0.0650409;-3.20034
101.522;198.282;-0.292857;0.020196;0.0511759;-2.78311
110.348;198.282;-0.266497;0.0110459;0.0357133;-2.34118
-101.463;189.456;0.583998;-0.064732;0.0630282;-3.12287
-92.6379;189.456;0.499634;-0.0759059;0.0778639;-3.62486
-83.8124;189.456;0.376132;-0.078834;0.0934547;-4.06876
-74.987;189.456;0.209713;-0.0668595;0.104815;-4.44373
-66.1615;189.456;0.0105991;-0.0445493;0.116121;-4.77159
-57.3361;189.456;-0.165576;-0.0288795;0.121107;-4.99149
-48.5106;189.456;-0.22232;-0.0270712;0.128972;-5.2422
-39.6852;189.456;-0.204346;-0.0243873;0.132072;-5.53465
-30.8597;189.456;-0.258025;-0.0186268;0.14141;-5.75146
-22.0342;189.456;-0.310302;-0.0110673;0.143228;-5.88243
-13.2088;189.456;-0.287012;-0.00133614;0.137349;-6.00977
-4.38334;189.456;-0.184105;0.00566044;0.130822;-6.14553
4.44212;189.456;-0.130452;0.0101053;0.13781;-6.2482
13.2676;189.456;-0.107682;0.0150548;0.146638;-6.27526
22.093;189.456;-0.107904;0.0220397;0.148786;-6.2331
30.9185;189.456;-0.11755;0.0295086;0.142633;-6.13387
39.7439;189.456;-0.125036;0.0353104;0.131022;-5.99111
48.5694;189.456;-0.12687;0.0378715;0.120361;-5.81229
57.3948;189.456;-0.15668;0.040686;0.113619;-5.57443
66.2203;189.456;-0.192424;0.0444906;0.11006;-5.29583
75.0458;189.456;-0.217161;0.0463688;0.103064;-4.97389
83.8712;189.456;-0.224744;0.0448555;0.0912924;-4.6095
92.6967;189.456;-0.224059;0.0401138;0.0771038;-4.20485
101.522;189.456;-0.222112;0.0328527;0.0642908;-3.76656
110.348;189.456;-0.204009;0.0247072;0.0508893;-3.29194
119.173;189.456;-0.165647;0.0147815;0.0345989;-2.80652
127.998;189.456;-0.110056;0.00304845;0.0174971;-2.2955
136.824;189.456;-0.089791;-0.012272;-0.00382943;-1.72001
-127.94;180.631;0.74136;-0.0526678;0.0174748;-2.32367
-119.114;180.631;0.686113;-0.0652172;0.0381453;-2.90793
-110.289;180.631;0.664279;-0.078214;0.0578419;-3.49138
-101.463;180.631;0.664402;-0.0910749;0.0712526;-4.03918
-92.6379;180.631;0.523733;-0.0994456;0.0943697;-4.51995
-83.8124;180.631;0.277093;-0.0997266;0.121584;-4.89418
-74.987;180.631;0.0972331;-0.0836241;0.13743;-5.30187
-66.1615;180.631;0.0192403;-0.0545242;0.135928;-5.75655
-57.3361;180.631;-0.0384827;-0.0328294;0.124374;-6.05773
-48.5106;180.631;-0.169323;-0.0262537;0.131857;-6.29939
-39.6852;180.631;-0.144168;-0.0262292;0.13502;-6.57764
-30.8597;180.631;-0.0963;-0.0227347;0.140669;-6.85413
-22.0342;180.631;-0.0527723;-0.0153257;0.142477;-7.05637
-13.2088;180.631;-0.0100783;-0.00565313;0.140581;-7.20504
-4.38334;180.631;0.0303358;0.00186777;0.139114;-7.31371
4.44212;180.631;0.0252143;0.00629944;0.14508;-7.37008
13.2676;180.631;0.00450403;0.012633;0.152945;-7.36329
22.093;180.631;-0.018546;0.0214995;0.156226;-7.30183
30.9185;180.631;-0.0338622;0.0308943;0.152857;-7.19666
39.7439;180.631;-0.0388275;0.0381334;0.144467;-7.05244
48.5694;180.631;-0.0408076;0.0413227;0.135814;-6.86535
57.3948;180.631;-0.0684124;0.0448173;0.129901;-6.61989
66.2203;180.631;-0.0989539;0.0489612;0.123688;-6.33126
75.0458;180.631;-0.11699;0.0520256;0.115083;-6.00042
83.8712;180.631;-0.123474;0.0528849;0.104727;-5.62484
92.6967;180.631;-0.135698;0.0511672;0.0940883;-5.20036
101.522;180.631;-0.159817;0.0459333;0.0834889;-4.73105
110.348;180.631;-0.164297;0.0360899;0.0683296;-4.22636
119.173;180.631;-0.142405;0.0247665;0.0502201;-3.70257
127.998;180.631;-0.0925073;0.0147745;0.031965;-3.16864
136.824;180.631;-0.0336097;0.00321321;0.0152703;-2.62737
145.649;180.631;-0.0379364;-0.00950121;-0.00839035;-1.99773
154.475;180.631;-0.0880527;-0.0297067;-0.0365547;-1.27
-136.765;171.805;0.823981;-0.0653063;0.0204252;-2.56617
-127.94;171.805;0.752558;-0.0749205;0.0383737;-3.17918
-119.114;171.805;0.659385;-0.0873889;0.0608189;-3.78507
-110.289;171.805;0.605675;-0.101582;0.0799544;-4.38034
-101.463;171.805;0.586648;-0.11345;0.0919301;-4.9287
-92.6379;171.805;0.353907;-0.120237;0.122439;-5.36586
-83.8124;171.805;0.0423124;-0.120126;0.161532;-5.74129
-74.987;171.805;0.0235992;-0.103349;0.171784;-6.22239
-66.1615;171.805;0.190632;-0.0721244;0.149727;-6.789
-57.3361;171.805;0.257199;-0.0466632;0.126008;-7.18514
-48.5106;171.805;0.104918;-0.0369729;0.133925;-7.43489
-39.6852;171.805;0.0433318;-0.0329329;0.147505;-7.67768
-30.8597;171.805;0.0524267;-0.0277007;0.158913;-7.93333
-22.0342;171.805;0.0785416;-0.019553;0.162986;-8.12844
-13.2088;171.805;0.0910024;-0.00923135;0.162989;-8.26068
-4.38334;171.805;0.078394;0.000446935;0.163374;-8.34039
4.44212;171.805;0.0379231;0.0075623;0.166165;-8.37115
13.2676;171.805;0.0116114;0.0143608;0.171848;-8.36134
22.093;171.805;0.000758321;0.0236817;0.176055;-8.31303
30.9185;171.805;0.00878433;0.0339564;0.174532;-8.22521
39.7439;171.805;0.025114;0.0427228;0.166983;-8.09065
48.5694;171.805;0.0270535;0.0480666;0.157717;-7.89798
57.3948;171.805;0.00249064;0.0529562;0.15059;-7.64795
66.2203;171.805;-0.0158436;0.0575618;0.142451;-7.3575
75.0458;171.805;-0.019499;0.0612572;0.132397;-7.02234
83.8712;171.805;-0.0225791;0.0635941;0.122726;-6.6338
92.6967;171.805;-0.0516835;0.0642941;0.116085;-6.18566
101.522;171.805;-0.107861;0.0619799;0.108486;-5.68808
110.348;171.805;-0.127719;0.0534306;0.0903942;-5.1599
119.173;171.805;-0.118421;0.0428247;0.0686099;-4.60871
127.998;171.805;-0.0956692;0.0322519;0.0488848;-4.03636
136.824;171.805;-0.0720438;0.0224625;0.0328688;-3.45121
145.649;171.805;-0.000470801;0.0068965;0.0135354;-2.85848
154.475;171.805;-0.0605814;-0.00796645;-0.0069187;-2.15757
163.3;171.805;-0.197614;-0.0302481;-0.0228298;-1.40358
-145.591;162.98;0.837597;-0.0730078;0.0245256;-2.70733
-136.765;162.98;0.816915;-0.0847453;0.0406436;-3.37672
-127.94;162.98;0.763065;-0.0927861;0.0592424;-4.03018
-119.114;162.98;0.671533;-0.102935;0.079404;-4.63941
-110.289;162.98;0.60992;-0.11429;0.0949485;-5.23546
-101.463;162.98;0.578392;-0.123641;0.102819;-5.78145
-92.6379;162.98;0.369591;-0.12936;0.1292;-6.25744
-83.8124;162.98;0.145807;-0.128539;0.1611;-6.69238
-74.987;162.98;0.285139;-0.110769;0.163414;-7.24064
-66.1615;162.98;0.504146;-0.0797316;0.137002;-7.8149
-57.3361;162.98;0.49011;-0.0526604;0.120203;-8.24104
-48.5106;162.98;0.316794;-0.0425898;0.135488;-8.4977
-39.6852;162.98;0.244764;-0.0366865;0.156595;-8.73402
