x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.38334;224.758;0.115697;-0.00800471;0.0643527;-2.18968
4.44212;224.758;0.0164864;-0.00185798;0.0652868;-2.19105
13.2676;224.758;-0.0263853;0.00748474;0.0610541;-2.15833
22.093;224.758;-0.0573264;0.0108226;0.0509169;-2.0805
-39.6852;215.933;-0.0236217;-0.0109696;0.0863223;-2.50904
-30.8597;215.933;-0.110706;-0.00922152;0.0931543;-2.65561
-22.0342;215.933;-0.217603;-0.00617777;0.0882216;-2.73182
-13.2088;215.933;-0.282745;0.00342139;0.0839118;-2.85178
-4.38334;215.933;-0.258786;0.00302336;0.0883198;-2.98198
4.44212;215.933;-0.243161;0.00593473;0.09536;-3.06438
13.2676;215.933;-0.236875;0.0129011;0.0976071;-3.06807
22.093;215.933;-0.216982;0.0157155;0.0920988;-3.02489
30.9185;215.933;-0.190114;0.0169481;0.0865464;-2.95747
39.7439;215.933;-0.184509;0.018953;0.0765871;-2.84108
48.5694;215.933;-0.226374;0.0204708;0.0642367;-2.67033
57.3948;215.933;-0.282106;0.0209239;0.0518608;-2.44376
66.2203;215.933;-0.344594;0.0188625;0.0503785;-2.18916
75.0458;215.933;-0.390934;0.0154043;0.0485477;-1.90704
-74.987;207.107;0.310109;-0.0339323;0.0642378;-2.4147
-66.1615;207.107;0.220077;-0.0257426;0.0753927;-2.7328
-57.3361;207.107;0.0527837;-0.0195777;0.0902557;-2.99829
-48.5106;207.107;-0.00835472;-0.0190037;0.104632;-3.29019
-39.6852;207.107;-0.0847791;-0.0159382;0.114733;-3.50478
-30.8597;207.107;-0.343077;-0.011058;0.127303;-3.55385
-22.0342;207.107;-0.616261;-0.00492048;0.126068;-3.51256
-13.2088;207.107;-0.691359;0.00552312;0.117144;-3.59492
-4.38334;207.107;-0.578334;0.0106092;0.11117;-3.75942
4.44212;207.107;-0.485139;0.0151961;0.119767;-3.90892
13.2676;207.107;-0.40193;0.0207713;0.12583;-3.98377
22.093;207.107;-0.315914;0.0229311;0.123228;-3.99986
30.9185;207.107;-0.244018;0.025457;0.115487;-3.96266
39.7439;207.107;-0.213265;0.0306024;0.101566;-3.85613
48.5694;207.107;-0.231486;0.0341153;0.0853924;-3.68671
57.3948;207.107;-0.284992;0.0353631;0.0745663;-3.45116
66.2203;207.107;-0.341313;0.0352928;0.0742698;-3.19035
75.0458;207.107;-0.380589;0.0327301;0.0740674;-2.89884
83.8712;207.107;-0.390712;0.0277758;0.0657722;-2.57284
92.6967;207.107;-0.374898;0.0239114;0.0457185;-2.19598
-110.289;198.282;0.583516;-0.0183337;0.0278553;-1.61996
-101.463;198.282;0.489507;-0.0298327;0.0493197;-2.10632
-92.6379;198.282;0.390211;-0.0438542;0.0673043;-2.587
-83.8124;198.282;0.339983;-0.0506608;0.0775197;-3.03881
-74.987;198.282;0.263229;-0.044182;0.0858949;-3.45288
-66.1615;198.282;0.117529;-0.0296792;0.0944143;-3.76453
-57.3361;198.282;-0.0883866;-0.0179968;0.110888;-4.01158
-48.5106;198.282;-0.117861;-0.0177204;0.122153;-4.28378
-39.6852;198.282;-0.151734;-0.0147199;0.128532;-4.51334
-30.8597;198.282;-0.371237;-0.009157;0.141248;-4.58557
-22.0342;198.282;-0.571981;-0.00440788;0.141772;-4.57987
-13.2088;198.282;-0.599976;0.00459016;0.132488;-4.66822
-4.38334;198.282;-0.463282;0.0113344;0.122951;-4.82753
4.44212;198.282;-0.364679;0.0166547;0.130814;-4.9778
13.2676;198.282;-0.290782;0.022947;0.139585;-5.06434
22.093;198.282;-0.237665;0.0283739;0.13942;-5.07626
30.9185;198.282;-0.20546;0.0339872;0.131447;-5.01668
39.7439;198.282;-0.194017;0.0400113;0.117766;-4.89445
48.5694;198.282;-0.199538;0.0436484;0.103896;-4.72388
57.3948;198.282;-0.240019;0.0458565;0.0943461;-4.48843
66.2203;198.282;-0.284398;0.0483106;0.0929265;-4.22037
75.0458;198.282;-0.313877;0.0482426;0.0896372;-3.91567
83.8712;198.282;-0.315215;0.0445458;0.0807334;-3.57035
92.6967;198.282;-0.30735;0.0389665;0.0650298;-3.18372
101.522;198.282;-0.292857;0.0320893;0.050552;-2.76708
110.348;198.282;-0.266497;0.0231218;0.0350939;-2.32893
-101.463;189.456;0.583998;-0.0506476;0.0630096;-3.10395
-92.6379;189.456;0.499634;-0.0619199;0.0772157;-3.60286
-83.8124;189.456;0.376132;-0.0667331;0.0936387;-4.04891
-74.987;189.456;0.209713;-0.0559897;0.106271;-4.42685
-66.1615;189.456;0.0105991;-0.0335988;0.117895;-4.75431
-57.3361;189.456;-0.165576;-0.0171784;0.122024;-4.97208
-48.5106;189.456;-0.22232;-0.0151732;0.129601;-5.22027
-39.6852;189.456;-0.204346;-0.0122352;0.132275;-5.50792
-30.8597;189.456;-0.258025;-0.00659152;0.141108;-5.72215
-22.0342;189.456;-0.310302;0.000735531;0.142761;-5.85287
-13.2088;189.456;-0.287012;0.0104145;0.136696;-5.97976
-4.38334;189.456;-0.184105;0.0176834;0.130051;-6.11386
4.44212;189.456;-0.130452;0.0221068;0.137323;-6.21563
13.2676;189.456;-0.107682;0.0269818;0.145562;-6.24068
22.093;189.456;-0.107904;0.0336214;0.147178;-6.19798
30.9185;189.456;-0.11755;0.0407635;0.141193;-6.10019
39.7439;189.456;-0.125036;0.0465454;0.130315;-5.95938
48.5694;189.456;-0.12687;0.049503;0.119759;-5.78069
57.3948;189.456;-0.15668;0.052757;0.111886;-5.53955
66.2203;189.456;-0.192424;0.0567262;0.107089;-5.25864
75.0458;189.456;-0.217161;0.0584188;0.100203;-4.93869
83.8712;189.456;-0.224744;0.0564291;0.089571;-4.57968
92.6967;189.456;-0.224059;0.0514845;0.0762747;-4.17974
101.522;189.456;-0.222112;0.0445545;0.0633884;-3.74388
110.348;189.456;-0.204009;0.0367119;0.0498172;-3.27159
119.173;189.456;-0.165647;0.0268157;0.0329954;-2.78726
127.998;189.456;-0.110056;0.0151965;0.015352;-2.2762
136.824;189.456;-0.089791;-0.000191555;-0.00671643;-1.69742
-127.94;180.631;0.74136;-0.0408351;0.0174994;-2.30668
-119.114;180.631;0.686113;-0.0528973;0.0382639;-2.88916
-110.289;180.631;0.664279;-0.0642748;0.0576268;-3.46951
-101.463;180.631;0.664402;-0.0763878;0.0704016;-4.01345
-92.6379;180.631;0.523733;-0.0854993;0.0936074;-4.49314
-83.8124;180.631;0.277093;-0.0877906;0.122351;-4.87011
-74.987;180.631;0.0972331;-0.0724869;0.139353;-5.28007
-66.1615;180.631;0.0192403;-0.0428671;0.137036;-5.73121
-57.3361;180.631;-0.0384827;-0.0206168;0.124061;-6.02754
-48.5106;180.631;-0.169323;-0.0147153;0.131792;-6.26763
-39.6852;180.631;-0.144168;-0.0146514;0.135329;-6.54316
-30.8597;180.631;-0.0963;-0.0111786;0.140964;-6.81862
-22.0342;180.631;-0.0527723;-0.00386193;0.14242;-7.02024
-13.2088;180.631;-0.0100783;0.00581524;0.140204;-7.16799
-4.38334;180.631;0.0303358;0.0134446;0.138674;-7.27517
4.44212;180.631;0.0252143;0.0177259;0.14513;-7.33045
13.2676;180.631;0.00450403;0.0243651;0.15235;-7.31962
22.093;180.631;-0.018546;0.0332102;0.154937;-7.25548
30.9185;180.631;-0.0338622;0.042169;0.151742;-7.1514
39.7439;180.631;-0.0388275;0.0490636;0.144145;-7.01071
48.5694;180.631;-0.0408076;0.0527838;0.135337;-6.82479
57.3948;180.631;-0.0684124;0.0569795;0.128256;-6.57662
66.2203;180.631;-0.0989539;0.0613066;0.121174;-6.28717
75.0458;180.631;-0.11699;0.0639871;0.112745;-5.95937
83.8712;180.631;-0.123474;0.0642507;0.103184;-5.58924
92.6967;180.631;-0.135698;0.0623885;0.0929552;-5.16897
101.522;180.631;-0.159817;0.0577171;0.0820944;-4.70166
110.348;180.631;-0.164297;0.0482675;0.0668827;-4.19858
119.173;180.631;-0.142405;0.0371616;0.0485465;-3.67666
127.998;180.631;-0.0925073;0.02762;0.0298714;-3.14479
136.824;180.631;-0.0336097;0.0167282;0.0119754;-2.60027
145.649;180.631;-0.0379364;0.00346857;-0.011635;-1.97167
154.475;180.631;-0.0880527;-0.0184405;-0.0395827;-1.24725
-136.765;171.805;0.823981;-0.0543006;0.0210825;-2.55038
-127.94;171.805;0.752558;-0.06329;0.0385394;-3.15904
-119.114;171.805;0.659385;-0.0746621;0.0602642;-3.7607
-110.289;171.805;0.605675;-0.0881332;0.0795846;-4.35436
-101.463;171.805;0.586648;-0.10029;0.0917787;-4.90162
-92.6379;171.805;0.353907;-0.10869;0.123288;-5.34002
