x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.38334;224.758;0.115697;-0.031476;0.0678155;-2.18188
4.44212;224.758;0.0164864;-0.025502;0.0696255;-2.18815
13.2676;224.758;-0.0263853;-0.0155832;0.0656078;-2.15621
22.093;224.758;-0.0573264;-0.0121579;0.0549791;-2.07358
-39.6852;215.933;-0.0236217;-0.0333588;0.0901525;-2.49956
-30.8597;215.933;-0.110706;-0.0317377;0.0971775;-2.64765
-22.0342;215.933;-0.217603;-0.028955;0.0921759;-2.72287
-13.2088;215.933;-0.282745;-0.0197021;0.088055;-2.84236
-4.38334;215.933;-0.258786;-0.0211447;0.0935626;-2.977
4.44212;215.933;-0.243161;-0.0181653;0.101004;-3.06295
13.2676;215.933;-0.236875;-0.0104754;0.10258;-3.06445
22.093;215.933;-0.216982;-0.0073891;0.0963634;-3.01526
30.9185;215.933;-0.190114;-0.00638595;0.0914045;-2.94655
39.7439;215.933;-0.184509;-0.00509454;0.0833257;-2.8346
48.5694;215.933;-0.226374;-0.00340141;0.0716824;-2.66657
57.3948;215.933;-0.282106;-0.00263885;0.0590902;-2.44014
66.2203;215.933;-0.344594;-0.00483555;0.0555945;-2.17924
75.0458;215.933;-0.390934;-0.00811111;0.0519411;-1.89202
-74.987;207.107;0.310109;-0.0596838;0.0692264;-2.41298
-66.1615;207.107;0.220077;-0.0511092;0.0810183;-2.732
-57.3361;207.107;0.0527837;-0.0436245;0.094995;-2.99188
-48.5106;207.107;-0.00835472;-0.0425154;0.108939;-3.27942
-39.6852;207.107;-0.0847791;-0.0390957;0.118545;-3.49211
-30.8597;207.107;-0.343077;-0.0336008;0.130785;-3.54188
-22.0342;207.107;-0.616261;-0.0273659;0.12919;-3.49943
-13.2088;207.107;-0.691359;-0.0174591;0.120599;-3.58132
-4.38334;207.107;-0.578334;-0.0134801;0.115769;-3.74912
4.44212;207.107;-0.485139;-0.00903685;0.124805;-3.90084
13.2676;207.107;-0.40193;-0.00296893;0.130957;-3.97484
22.093;207.107;-0.315914;-0.00070285;0.128041;-3.98548
30.9185;207.107;-0.244018;0.00163227;0.120765;-3.94747
39.7439;207.107;-0.213265;0.00612064;0.108152;-3.84555
48.5694;207.107;-0.231486;0.00949418;0.0923346;-3.67944
57.3948;207.107;-0.284992;0.0110024;0.0806049;-3.4429
66.2203;207.107;-0.341313;0.0111215;0.0786681;-3.17723
75.0458;207.107;-0.380589;0.0088859;0.0768304;-2.88015
83.8712;207.107;-0.390712;0.00431066;0.0676198;-2.55097
92.6967;207.107;-0.374898;0.000287752;0.048741;-2.17907
-110.289;198.282;0.583516;-0.038436;0.026445;-1.60045
-101.463;198.282;0.489507;-0.0525285;0.0508742;-2.09586
-92.6379;198.282;0.390211;-0.067894;0.0708072;-2.58117
-83.8124;198.282;0.339983;-0.0743729;0.0809784;-3.03125
-74.987;198.282;0.263229;-0.0676757;0.0886616;-3.44188
-66.1615;198.282;0.117529;-0.0532396;0.0969601;-3.75273
-57.3361;198.282;-0.0883866;-0.0422103;0.114073;-3.99839
-48.5106;198.282;-0.117861;-0.0424736;0.12578;-4.26966
-39.6852;198.282;-0.151734;-0.039136;0.132261;-4.499
-30.8597;198.282;-0.371237;-0.0325177;0.145523;-4.57375
-22.0342;198.282;-0.571981;-0.0273079;0.14582;-4.56663
-13.2088;198.282;-0.599976;-0.0189098;0.136345;-4.65288
-4.38334;198.282;-0.463282;-0.0134327;0.127237;-4.81296
4.44212;198.282;-0.364679;-0.00821773;0.13529;-4.96343
13.2676;198.282;-0.290782;-0.00166725;0.144884;-5.05049
22.093;198.282;-0.237665;0.00388486;0.144912;-5.05914
30.9185;198.282;-0.20546;0.0095649;0.137084;-4.99847
39.7439;198.282;-0.194017;0.0153829;0.123709;-4.87864
48.5694;198.282;-0.199538;0.018826;0.10987;-4.71111
