x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.38334;224.758;0.115697;-0.0232883;0.0667413;-2.21386
4.44212;224.758;0.0164864;-0.0177572;0.0686708;-2.21973
13.2676;224.758;-0.0263853;-0.00803713;0.063714;-2.18741
22.093;224.758;-0.0573264;-0.00426484;0.0523196;-2.10632
-39.6852;215.933;-0.0236217;-0.0252413;0.0846809;-2.53255
-30.8597;215.933;-0.110706;-0.0234577;0.091568;-2.68006
-22.0342;215.933;-0.217603;-0.0204275;0.0868724;-2.75613
-13.2088;215.933;-0.282745;-0.0110551;0.0837523;-2.88015
-4.38334;215.933;-0.258786;-0.0129079;0.0903675;-3.01945
4.44212;215.933;-0.243161;-0.0106082;0.0987838;-3.10741
13.2676;215.933;-0.236875;-0.00282254;0.100789;-3.11126
22.093;215.933;-0.216982;0.00113956;0.0945565;-3.06473
30.9185;215.933;-0.190114;0.00276049;0.0888392;-2.99469
39.7439;215.933;-0.184509;0.00428832;0.0798897;-2.88027
48.5694;215.933;-0.226374;0.00613631;0.0674823;-2.70963
57.3948;215.933;-0.282106;0.00712144;0.0545491;-2.48171
66.2203;215.933;-0.344594;0.00512391;0.0519118;-2.21936
75.0458;215.933;-0.390934;0.00200646;0.0493168;-1.92936
-74.987;207.107;0.310109;-0.0510558;0.0636355;-2.44571
-66.1615;207.107;0.220077;-0.0426975;0.0747928;-2.76762
-57.3361;207.107;0.0527837;-0.0350929;0.0888581;-3.03281
-48.5106;207.107;-0.00835472;-0.0342319;0.102357;-3.32599
-39.6852;207.107;-0.0847791;-0.0311263;0.111841;-3.54123
-30.8597;207.107;-0.343077;-0.0256975;0.124505;-3.58814
-22.0342;207.107;-0.616261;-0.0191507;0.123637;-3.54441
-13.2088;207.107;-0.691359;-0.00883178;0.115686;-3.63185
-4.38334;207.107;-0.578334;-0.00470958;0.111236;-3.8068
4.44212;207.107;-0.485139;-0.00039174;0.121266;-3.96374
13.2676;207.107;-0.40193;0.00612271;0.12784;-4.03956
22.093;207.107;-0.315914;0.00945633;0.125547;-4.05413
30.9185;207.107;-0.244018;0.0120535;0.118034;-4.01516
39.7439;207.107;-0.213265;0.0162891;0.104405;-3.91045
48.5694;207.107;-0.231486;0.0196494;0.0874803;-3.7415
57.3948;207.107;-0.284992;0.0212781;0.0758515;-3.50384
66.2203;207.107;-0.341313;0.0213648;0.0745615;-3.23543
75.0458;207.107;-0.380589;0.0192229;0.0733959;-2.93479
83.8712;207.107;-0.390712;0.0148301;0.0643243;-2.59995
92.6967;207.107;-0.374898;0.0107924;0.0448955;-2.22088
-110.289;198.282;0.583516;-0.0328965;0.0241495;-1.64106
-101.463;198.282;0.489507;-0.0452274;0.045477;-2.13352
-92.6379;198.282;0.390211;-0.0595982;0.0635816;-2.61958
-83.8124;198.282;0.339983;-0.0661806;0.0735025;-3.07525
-74.987;198.282;0.263229;-0.0596996;0.0815886;-3.49319
-66.1615;198.282;0.117529;-0.0451107;0.0898615;-3.80778
-57.3361;198.282;-0.0883866;-0.0331483;0.107043;-4.05742
-48.5106;198.282;-0.117861;-0.0334744;0.11833;-4.33506
-39.6852;198.282;-0.151734;-0.0306138;0.124207;-4.56756
-30.8597;198.282;-0.371237;-0.0243306;0.136759;-4.63707
-22.0342;198.282;-0.571981;-0.0189111;0.137676;-4.6303
-13.2088;198.282;-0.599976;-0.00999368;0.129466;-4.72436
-4.38334;198.282;-0.463282;-0.00414455;0.121287;-4.89436
