x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.38334;224.758;0.115697;-0.0281212;0.0689166;-2.20126
4.44212;224.758;0.0164864;-0.0228597;0.0715247;-2.2101
13.2676;224.758;-0.0263853;-0.0131152;0.0673193;-2.18076
22.093;224.758;-0.0573264;-0.00905522;0.0560382;-2.10092
-39.6852;215.933;-0.0236217;-0.0303572;0.0872632;-2.5217
-30.8597;215.933;-0.110706;-0.0286114;0.0946028;-2.67061
-22.0342;215.933;-0.217603;-0.0255131;0.0899516;-2.74647
-13.2088;215.933;-0.282745;-0.0161087;0.086653;-2.86953
-4.38334;215.933;-0.258786;-0.0181782;0.0934494;-3.00959
4.44212;215.933;-0.243161;-0.0160176;0.10216;-3.09937
13.2676;215.933;-0.236875;-0.00812557;0.104231;-3.10504
22.093;215.933;-0.216982;-0.00397475;0.0973055;-3.05761
30.9185;215.933;-0.190114;-0.00207072;0.09125;-2.9875
39.7439;215.933;-0.184509;-0.00068411;0.082789;-2.87423
48.5694;215.933;-0.226374;0.000745472;0.0710585;-2.70476
57.3948;215.933;-0.282106;0.00136653;0.0584706;-2.47662
66.2203;215.933;-0.344594;-0.000694873;0.0555148;-2.21428
75.0458;215.933;-0.390934;-0.00410262;0.052058;-1.92329
-74.987;207.107;0.310109;-0.0565807;0.067537;-2.44139
-66.1615;207.107;0.220077;-0.0481362;0.0771965;-2.75962
-57.3361;207.107;0.0527837;-0.0402681;0.0903949;-3.02156
-48.5106;207.107;-0.00835472;-0.0393467;0.104518;-3.31458
-39.6852;207.107;-0.0847791;-0.0361513;0.114771;-3.5322
-30.8597;207.107;-0.343077;-0.0305901;0.127572;-3.5799
-22.0342;207.107;-0.616261;-0.0239477;0.126332;-3.53487
-13.2088;207.107;-0.691359;-0.0136329;0.118026;-3.62108
-4.38334;207.107;-0.578334;-0.00968633;0.113578;-3.79651
4.44212;207.107;-0.485139;-0.0055181;0.123894;-3.95513
13.2676;207.107;-0.40193;0.000888745;0.130748;-4.03259
22.093;207.107;-0.315914;0.00404266;0.127914;-4.04609
30.9185;207.107;-0.244018;0.00664977;0.119964;-4.00692
39.7439;207.107;-0.213265;0.0108689;0.106635;-3.90351
48.5694;207.107;-0.231486;0.0140809;0.0905385;-3.73662
57.3948;207.107;-0.284992;0.0156311;0.0792343;-3.49966
66.2203;207.107;-0.341313;0.0155683;0.077684;-3.23096
75.0458;207.107;-0.380589;0.0130213;0.0759534;-2.92909
83.8712;207.107;-0.390712;0.00816804;0.0667329;-2.59407
92.6967;207.107;-0.374898;0.00381676;0.0480567;-2.21725
-110.289;198.282;0.583516;-0.0370116;0.0254724;-1.62778
-101.463;198.282;0.489507;-0.0498928;0.0471092;-2.12298
-92.6379;198.282;0.390211;-0.0647556;0.0667596;-2.61299
-83.8124;198.282;0.339983;-0.0714155;0.0774842;-3.07074
-74.987;198.282;0.263229;-0.0648797;0.0854359;-3.48826
-66.1615;198.282;0.117529;-0.0503869;0.0920367;-3.79918
-57.3361;198.282;-0.0883866;-0.0386039;0.108677;-4.04682
-48.5106;198.282;-0.117861;-0.0387592;0.120576;-4.32483
-39.6852;198.282;-0.151734;-0.035589;0.127052;-4.55967
-30.8597;198.282;-0.371237;-0.0291178;0.139625;-4.63023
-22.0342;198.282;-0.571981;-0.0236553;0.140144;-4.62225
-13.2088;198.282;-0.599976;-0.0147024;0.131472;-4.71515
-4.38334;198.282;-0.463282;-0.00885838;0.123063;-4.88508
4.44212;198.282;-0.364679;-0.00359589;0.132069;-5.04356
13.2676;198.282;-0.290782;0.00315438;0.142694;-5.13523
22.093;198.282;-0.237665;0.00915955;0.143394;-5.14643
30.9185;198.282;-0.20546;0.0148165;0.135275;-5.08411
39.7439;198.282;-0.194017;0.0202178;0.12105;-4.96176
48.5694;198.282;-0.199538;0.0233371;0.106904;-4.79333
57.3948;198.282;-0.240019;0.0253818;0.0979731;-4.55981
66.2203;198.282;-0.284398;0.0278009;0.0970029;-4.28792
75.0458;198.282;-0.313877;0.0278031;0.0928105;-3.97329
83.8712;198.282;-0.315215;0.0243932;0.0827344;-3.61711
92.6967;198.282;-0.30735;0.0187887;0.0673151;-3.22528
101.522;198.282;-0.292857;0.0117986;0.0542015;-2.80699
110.348;198.282;-0.266497;0.00264724;0.0392376;-2.36257
-101.463;189.456;0.583998;-0.0736188;0.0620139;-3.14501
-92.6379;189.456;0.499634;-0.0851427;0.0770676;-3.65203
-83.8124;189.456;0.376132;-0.0878363;0.0919451;-4.09892
-74.987;189.456;0.209713;-0.075592;0.102441;-4.47586
-66.1615;189.456;0.0105991;-0.0533572;0.112802;-4.80399
-57.3361;189.456;-0.165576;-0.0378525;0.118368;-5.02572
-48.5106;189.456;-0.22232;-0.0357712;0.12619;-5.27964
-39.6852;189.456;-0.204346;-0.0323907;0.128527;-5.57517
-30.8597;189.456;-0.258025;-0.0263147;0.137323;-5.79234
-22.0342;189.456;-0.310302;-0.0188162;0.13963;-5.92628
-13.2088;189.456;-0.287012;-0.00949021;0.134314;-6.05871
-4.38334;189.456;-0.184105;-0.00280144;0.128273;-6.20043
4.44212;189.456;-0.130452;0.00221008;0.135637;-6.30699
13.2676;189.456;-0.107682;0.00700529;0.146189;-6.33961
22.093;189.456;-0.107904;0.0136977;0.149516;-6.29812
30.9185;189.456;-0.11755;0.0212748;0.143293;-6.19615
39.7439;189.456;-0.125036;0.0274181;0.130887;-6.0505
48.5694;189.456;-0.12687;0.0296705;0.120373;-5.87291
57.3948;189.456;-0.15668;0.0317501;0.114336;-5.63606
66.2203;189.456;-0.192424;0.0353679;0.111048;-5.35383
75.0458;189.456;-0.217161;0.0375421;0.103968;-5.02484
83.8712;189.456;-0.224744;0.0364583;0.0921903;-4.65343
92.6967;189.456;-0.224059;0.0317864;0.0786194;-4.24549
101.522;189.456;-0.222112;0.0245799;0.0662298;-3.80449
110.348;189.456;-0.204009;0.0162092;0.0528509;-3.3239
119.173;189.456;-0.165647;0.00567224;0.0361564;-2.83073
127.998;189.456;-0.110056;-0.00603665;0.0194292;-2.31509
136.824;189.456;-0.089791;-0.0212701;-0.00146576;-1.73573
-127.94;180.631;0.74136;-0.0628034;0.0184697;-2.34663
-119.114;180.631;0.686113;-0.0751037;0.0383574;-2.93558
-110.289;180.631;0.664279;-0.0882745;0.0575121;-3.5254
-101.463;180.631;0.664402;-0.101308;0.0706621;-4.0782
-92.6379;180.631;0.523733;-0.109065;0.0927812;-4.55985
-83.8124;180.631;0.277093;-0.108193;0.118357;-4.93184
-74.987;180.631;0.0972331;-0.0917025;0.133424;-5.34203
-66.1615;180.631;0.0192403;-0.063236;0.131731;-5.80135
-57.3361;180.631;-0.0384827;-0.0422299;0.120659;-6.10711
-48.5106;180.631;-0.169323;-0.0349879;0.127313;-6.35153
-39.6852;180.631;-0.144168;-0.0339646;0.129584;-6.63411
-30.8597;180.631;-0.0963;-0.0304728;0.135459;-6.91497
-22.0342;180.631;-0.0527723;-0.0236965;0.138132;-7.12316
-13.2088;180.631;-0.0100783;-0.0146074;0.136683;-7.2767
-4.38334;180.631;0.0303358;-0.00689728;0.135197;-7.38793
4.44212;180.631;0.0252143;-0.00133087;0.140964;-7.44623
13.2676;180.631;0.00450403;0.00447958;0.15048;-7.44593
22.093;180.631;-0.018546;0.0127271;0.155095;-7.38591
30.9185;180.631;-0.0338622;0.0225861;0.151706;-7.27746
39.7439;180.631;-0.0388275;0.0309181;0.142458;-7.12912
48.5694;180.631;-0.0408076;0.0339178;0.134152;-6.94294
57.3948;180.631;-0.0684124;0.036229;0.129031;-6.6981
66.2203;180.631;-0.0989539;0.0400311;0.123024;-6.40486
75.0458;180.631;-0.11699;0.0434304;0.114593;-6.06681
83.8712;180.631;-0.123474;0.0446764;0.10465;-5.68463
92.6967;180.631;-0.135698;0.0428815;0.0946646;-5.25651
101.522;180.631;-0.159817;0.0377428;0.0843514;-4.78305
110.348;180.631;-0.164297;0.0278762;0.0688026;-4.27122
119.173;180.631;-0.142405;0.016263;0.0504486;-3.73853
127.998;180.631;-0.0925073;0.00603961;0.0331118;-3.19817
136.824;180.631;-0.0336097;-0.00558633;0.0184518;-2.6556
145.649;180.631;-0.0379364;-0.017903;-0.00435906;-2.02154
154.475;180.631;-0.0880527;-0.0374822;-0.0336858;-1.28472
-136.765;171.805;0.823981;-0.0743492;0.0202353;-2.59173
-127.94;171.805;0.752558;-0.0846289;0.0384616;-3.21311
-119.114;171.805;0.659385;-0.0975056;0.0606941;-3.82528
-110.289;171.805;0.605675;-0.111662;0.079678;-4.42755
-101.463;171.805;0.586648;-0.123005;0.0910254;-4.97959
-92.6379;171.805;0.353907;-0.128211;0.119997;-5.41387
-83.8124;171.805;0.0423124;-0.126877;0.157397;-5.78561
-74.987;171.805;0.0235992;-0.110765;0.167406;-6.27347
-66.1615;171.805;0.190632;-0.0812669;0.145661;-6.85082
-57.3361;171.805;0.257199;-0.0568543;0.12225;-7.25564
-48.5106;171.805;0.104918;-0.0465095;0.128935;-7.5103
-39.6852;171.805;0.0433318;-0.040922;0.141854;-7.75775
-30.8597;171.805;0.0524267;-0.0350424;0.153906;-8.01795
-22.0342;171.805;0.0785416;-0.0272841;0.158638;-8.2188
-13.2088;171.805;0.0910024;-0.0173316;0.158706;-8.35513
-4.38334;171.805;0.078394;-0.00709925;0.158859;-8.43577
4.44212;171.805;0.0379231;0.0010743;0.161728;-8.46885
13.2676;171.805;0.0116114;0.0066651;0.169029;-8.46647
22.093;171.805;0.000758321;0.0150263;0.17428;-8.41971
30.9185;171.805;0.00878433;0.0258276;0.172623;-8.32747
39.7439;171.805;0.025114;0.0359321;0.164513;-8.1878
48.5694;171.805;0.0270535;0.0412835;0.15552;-7.99465
57.3948;171.805;0.00249064;0.0451957;0.148697;-7.74166
66.2203;171.805;-0.0158436;0.0496948;0.140362;-7.44389
75.0458;171.805;-0.019499;0.0535653;0.130712;-7.10297
83.8712;171.805;-0.0225791;0.0558533;0.1222;-6.71095
92.6967;171.805;-0.0516835;0.056183;0.116613;-6.25811
