x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.24634;224.675;0.375758;0.0378531;0.0762517;-2.17728
4.57912;224.675;0.279688;0.0447775;0.0772516;-2.18014
13.4046;224.675;0.244098;0.0518266;0.0754993;-2.15568
22.23;224.675;0.214277;0.0532563;0.0672409;-2.08058
31.0555;224.675;0.169214;0.052594;0.0620726;-1.96928
-39.5482;215.85;0.228536;0.0259087;0.100461;-2.49972
-30.7227;215.85;0.132185;0.0273891;0.106716;-2.63535
-21.8972;215.85;0.00690536;0.0327984;0.0977875;-2.68073
-13.0718;215.85;-0.0678567;0.0457265;0.0925774;-2.79751
-4.24634;215.85;-0.0400073;0.050796;0.0946935;-2.92121
4.57912;215.85;-0.0137488;0.0550649;0.10384;-3.01475
13.4046;215.85;0.00217642;0.0590173;0.109919;-3.03751
22.23;215.85;0.0324511;0.0590412;0.107799;-3.00593
31.0555;215.85;0.0670344;0.0604569;0.102735;-2.94353
39.8809;215.85;0.0771415;0.0630769;0.0921285;-2.82375
48.7064;215.85;0.0358777;0.0654097;0.0801736;-2.65132
57.5318;215.85;-0.0227074;0.067028;0.069571;-2.42628
66.3573;215.85;-0.0863275;0.0663878;0.0687305;-2.17138
75.1828;215.85;-0.127406;0.063643;0.0666576;-1.88979
-74.85;207.024;0.59461;0.0133651;0.0715225;-2.40858
-66.0245;207.024;0.486612;0.0225757;0.0810911;-2.71286
-57.1991;207.024;0.307945;0.0279592;0.0947771;-2.96559
-48.3736;207.024;0.233351;0.026701;0.10964;-3.25433
-39.5482;207.024;0.145739;0.0273154;0.120781;-3.45836
-30.7227;207.024;-0.153578;0.0325983;0.134437;-3.48239
-21.8972;207.024;-0.444783;0.0378495;0.13128;-3.41224
-13.0718;207.024;-0.518978;0.0490116;0.122774;-3.49946
-4.24634;207.024;-0.398179;0.0569985;0.117369;-3.67429
4.57912;207.024;-0.29085;0.0629299;0.128772;-3.8435
13.4046;207.024;-0.188586;0.0665555;0.139248;-3.94546
22.23;207.024;-0.0832845;0.0677029;0.140185;-3.98294
31.0555;207.024;0.00173202;0.0701235;0.132255;-3.94983
39.8809;207.024;0.0396905;0.075343;0.117539;-3.84175
48.7064;207.024;0.0246193;0.0794816;0.102048;-3.67253
57.5318;207.024;-0.0306136;0.0820704;0.0938935;-3.44212
66.3573;207.024;-0.0857333;0.0826022;0.0944498;-3.18114
75.1828;207.024;-0.119264;0.0801124;0.0936908;-2.8913
84.0082;207.024;-0.122125;0.0748658;0.0860885;-2.57039
92.8337;207.024;-0.102492;0.0701219;0.0681311;-2.20019
-110.152;198.199;0.893724;0.0161212;0.0434445;-1.66311
-101.326;198.199;0.790244;0.00993515;0.0591826;-2.13247
-92.5009;198.199;0.684541;0.000261121;0.0745048;-2.60326
-83.6754;198.199;0.63034;-0.00621887;0.0855503;-3.05503
-74.85;198.199;0.540479;0.00105748;0.0945518;-3.46452
-66.0245;198.199;0.373743;0.0172858;0.101216;-3.75641
-57.1991;198.199;0.150043;0.0315061;0.115121;-3.97645
-48.3736;198.199;0.108936;0.0318263;0.125129;-4.23872
-39.5482;198.199;0.0654755;0.0332331;0.130537;-4.45496
-30.7227;198.199;-0.178439;0.0375103;0.14328;-4.50746
-21.8972;198.199;-0.383967;0.0398869;0.14361;-4.49024
-13.0718;198.199;-0.404249;0.0483417;0.13564;-4.59368
-4.24634;198.199;-0.259576;0.0564948;0.127261;-4.76674
4.57912;198.199;-0.149092;0.0624674;0.13742;-4.93421
13.4046;198.199;-0.0598719;0.0680479;0.149481;-5.04301
22.23;198.199;0.00467943;0.0737037;0.153322;-5.0742
31.0555;198.199;0.0444207;0.0788984;0.147179;-5.01923
39.8809;198.199;0.062254;0.0842994;0.1344;-4.89673
48.7064;198.199;0.0619776;0.0887068;0.12136;-4.72499
57.5318;198.199;0.0215814;0.0926787;0.11355;-4.49159
66.3573;198.199;-0.0206234;0.0948745;0.111114;-4.21885
75.1828;198.199;-0.044663;0.0939348;0.107193;-3.91502
84.0082;198.199;-0.0387745;0.0898184;0.0996568;-3.5769
92.8337;198.199;-0.0265803;0.0839385;0.0863394;-3.19938
101.659;198.199;-0.010551;0.0774511;0.0708799;-2.7785
110.485;198.199;0.0169507;0.0682984;0.0538106;-2.33259
-110.152;189.373;0.930837;0.00144047;0.0547176;-2.60248
-101.326;189.373;0.892086;-0.00421785;0.0648456;-3.12325
-92.5009;189.373;0.791371;-0.0140561;0.0803522;-3.61518
-83.6754;189.373;0.655952;-0.0223589;0.100287;-4.06725
-74.85;189.373;0.473169;-0.0135049;0.114528;-4.44392
-66.0245;189.373;0.255245;0.0107176;0.124508;-4.75017
-57.1991;189.373;0.0654671;0.0299061;0.126466;-4.93903
-48.3736;189.373;0.000737889;0.0312384;0.133863;-5.18693
-39.5482;189.373;0.0191545;0.0335049;0.134606;-5.47493
-30.7227;189.373;-0.0364448;0.0386394;0.14163;-5.68705
-21.8972;189.373;-0.082711;0.044927;0.143201;-5.82244
-13.0718;189.373;-0.0487373;0.0544279;0.138395;-5.96549
-4.24634;189.373;0.0601943;0.0628635;0.133161;-6.11104
4.57912;189.373;0.120273;0.0676487;0.142175;-6.22152
13.4046;189.373;0.149755;0.0726058;0.15221;-6.25298
22.23;189.373;0.152561;0.0793257;0.15711;-6.21758
31.0555;189.373;0.146051;0.0853774;0.154426;-6.12421
39.8809;189.373;0.144224;0.090114;0.146392;-5.98608
48.7064;189.373;0.148461;0.0943498;0.137026;-5.80476
57.5318;189.373;0.119586;0.0992946;0.129346;-5.55834
66.3573;189.373;0.0844441;0.102404;0.122279;-5.26787
75.1828;189.373;0.0629578;0.102682;0.114849;-4.94692
84.0082;189.373;0.0600902;0.100115;0.106305;-4.59592
92.8337;189.373;0.0644549;0.0957509;0.0959993;-4.2056
101.659;189.373;0.0664289;0.0901286;0.083407;-3.76874
110.485;189.373;0.0848117;0.0828495;0.0688048;-3.28904
119.31;189.373;0.124769;0.0730661;0.0501438;-2.79737
128.135;189.373;0.179572;0.062321;0.0309746;-2.28323
136.961;189.373;0.201108;0.0463842;0.00788254;-1.699
-127.803;180.548;1.05846;0.000169257;0.0280156;-2.34806
-118.977;180.548;0.997956;-0.0117521;0.0476842;-2.93112
-110.152;180.548;0.970836;-0.0188672;0.0622275;-3.49995
-101.326;180.548;0.96254;-0.0273316;0.070374;-4.02659
-92.5009;180.548;0.807726;-0.0373499;0.0932813;-4.49262
-83.6754;180.548;0.539784;-0.0457506;0.127439;-4.88076
