x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.24634;224.675;0.375758;0.0376032;0.0745576;-2.15791
4.57912;224.675;0.279688;0.0437525;0.0745494;-2.15856
13.4046;224.675;0.244098;0.0501064;0.0733575;-2.13354
22.23;224.675;0.214277;0.0515509;0.0656761;-2.05874
31.0555;224.675;0.169214;0.0513413;0.060891;-1.94846
-39.5482;215.85;0.228536;0.0256202;0.100415;-2.4775
-30.7227;215.85;0.132185;0.0270799;0.107357;-2.6129
-21.8972;215.85;0.00690536;0.0324273;0.0994653;-2.66052
-13.0718;215.85;-0.0678567;0.0451158;0.0935874;-2.77489
-4.24634;215.85;-0.0400073;0.0498837;0.094028;-2.89398
4.57912;215.85;-0.0137488;0.0532699;0.102017;-2.9843
13.4046;215.85;0.00217642;0.0568128;0.108648;-3.00738
22.23;215.85;0.0324511;0.0572538;0.106768;-2.97646
31.0555;215.85;0.0670344;0.0592042;0.101586;-2.91388
39.8809;215.85;0.0771415;0.0621592;0.0914439;-2.79576
48.7064;215.85;0.0358777;0.0647101;0.0798505;-2.6242
57.5318;215.85;-0.0227074;0.0664474;0.0685854;-2.39787
66.3573;215.85;-0.0863275;0.0657019;0.0671824;-2.1432
75.1828;215.85;-0.127406;0.0629187;0.0653333;-1.86553
-74.85;207.024;0.59461;0.0136336;0.0727071;-2.38307
-66.0245;207.024;0.486612;0.0226443;0.0817074;-2.68534
-57.1991;207.024;0.307945;0.0273355;0.0948291;-2.93713
-48.3736;207.024;0.233351;0.0259289;0.109706;-3.22434
-39.5482;207.024;0.145739;0.0267996;0.121325;-3.4268
-30.7227;207.024;-0.153578;0.0320307;0.135312;-3.45151
-21.8972;207.024;-0.444783;0.0372343;0.132613;-3.38323
-13.0718;207.024;-0.518978;0.0482348;0.123697;-3.46834
-4.24634;207.024;-0.398179;0.0559302;0.117268;-3.63856
4.57912;207.024;-0.29085;0.0612613;0.127917;-3.80439
13.4046;207.024;-0.188586;0.0647669;0.138388;-3.90469
22.23;207.024;-0.0832845;0.0661318;0.13915;-3.94068
31.0555;207.024;0.00173202;0.0687705;0.131376;-3.90798
39.8809;207.024;0.0396905;0.0740072;0.117469;-3.80197
48.7064;207.024;0.0246193;0.078324;0.102244;-3.63264
57.5318;207.024;-0.0306136;0.0807551;0.0931452;-3.40079
66.3573;207.024;-0.0857333;0.0811223;0.0933094;-3.14189
75.1828;207.024;-0.119264;0.0787023;0.0930258;-2.85754
84.0082;207.024;-0.122125;0.0735351;0.0861277;-2.54275
92.8337;207.024;-0.102492;0.0692445;0.069175;-2.17906
