x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.24634;224.675;0.375758;0.0418037;0.0774329;-2.19186
4.57912;224.675;0.279688;0.0490477;0.0780992;-2.19548
13.4046;224.675;0.244098;0.0562377;0.0758425;-2.17166
22.23;224.675;0.214277;0.0576392;0.0667479;-2.09524
31.0555;224.675;0.169214;0.0572877;0.0619649;-1.98374
-39.5482;215.85;0.228536;0.0297028;0.098836;-2.50967
-30.7227;215.85;0.132185;0.0315968;0.105446;-2.64625
-21.8972;215.85;0.00690536;0.0372823;0.0969574;-2.69349
-13.0718;215.85;-0.0678567;0.0502763;0.09253;-2.8141
-4.24634;215.85;-0.0400073;0.0554246;0.0951556;-2.94153
4.57912;215.85;-0.0137488;0.0600097;0.10447;-3.03785
13.4046;215.85;0.00217642;0.0639004;0.110577;-3.06251
22.23;215.85;0.0324511;0.0638211;0.108355;-3.03133
31.0555;215.85;0.0670344;0.0653743;0.10344;-2.96801
39.8809;215.85;0.0771415;0.0683775;0.0927298;-2.84692
48.7064;215.85;0.0358777;0.0707832;0.0804748;-2.67366
57.5318;215.85;-0.0227074;0.072493;0.0690297;-2.44576
66.3573;215.85;-0.0863275;0.0714238;0.0681464;-2.18798
75.1828;215.85;-0.127406;0.0683837;0.0670094;-1.90589
-74.85;207.024;0.59461;0.017211;0.0703235;-2.42454
-66.0245;207.024;0.486612;0.0268319;0.0787354;-2.72643
-57.1991;207.024;0.307945;0.0324202;0.0918781;-2.97843
-48.3736;207.024;0.233351;0.0309331;0.106443;-3.26751
-39.5482;207.024;0.145739;0.0316857;0.117464;-3.47272
-30.7227;207.024;-0.153578;0.0374221;0.1314;-3.4969
-21.8972;207.024;-0.444783;0.0428679;0.128985;-3.4278
-13.0718;207.024;-0.518978;0.0540396;0.121337;-3.51954
-4.24634;207.024;-0.398179;0.0620513;0.116445;-3.69961
4.57912;207.024;-0.29085;0.0682177;0.128061;-3.87206
13.4046;207.024;-0.188586;0.0717679;0.139074;-3.97593
22.23;207.024;-0.0832845;0.0728357;0.140427;-4.01466
31.0555;207.024;0.00173202;0.0754402;0.13242;-3.9815
39.8809;207.024;0.0396905;0.0809856;0.116737;-3.87168
48.7064;207.024;0.0246193;0.085046;0.100506;-3.70101
57.5318;207.024;-0.0306136;0.0874776;0.0920677;-3.46805
66.3573;207.024;-0.0857333;0.0875225;0.0924825;-3.20275
75.1828;207.024;-0.119264;0.084937;0.0922795;-2.91112
84.0082;207.024;-0.122125;0.0797225;0.0851421;-2.58925
92.8337;207.024;-0.102492;0.0753878;0.0675809;-2.21881
-110.152;198.199;0.893724;0.0194063;0.0428533;-1.68097
-101.326;198.199;0.790244;0.0140099;0.0578343;-2.15048
-92.5009;198.199;0.684541;0.00481927;0.0725143;-2.62248
-83.6754;198.199;0.63034;-0.00203906;0.0831002;-3.07696
-74.85;198.199;0.540479;0.00524002;0.0914305;-3.4871
-66.0245;198.199;0.373743;0.0219466;0.0979448;-3.77838
-57.1991;198.199;0.150043;0.0366201;0.112345;-3.99936
-48.3736;198.199;0.108936;0.0368602;0.122316;-4.26415
-39.5482;198.199;0.0654755;0.0383128;0.126812;-4.48111
-30.7227;198.199;-0.178439;0.0426931;0.138615;-4.53184
-21.8972;198.199;-0.383967;0.0450929;0.139221;-4.51495
-13.0718;198.199;-0.404249;0.0535891;0.132108;-4.62248
-4.24634;198.199;-0.259576;0.0617944;0.124311;-4.80029
4.57912;198.199;-0.149092;0.0678385;0.13461;-4.97049
13.4046;198.199;-0.0598719;0.0730708;0.147439;-5.08082
22.23;198.199;0.00467943;0.0785762;0.152055;-5.11348
31.0555;198.199;0.0444207;0.0840487;0.145891;-5.05883
39.8809;198.199;0.062254;0.0899081;0.132177;-4.93539
48.7064;198.199;0.0619776;0.0943153;0.118657;-4.76346
57.5318;198.199;0.0215814;0.098223;0.111026;-4.52912
66.3573;198.199;-0.0206234;0.100183;0.108811;-4.25315
75.1828;198.199;-0.044663;0.0990234;0.105071;-3.94564
84.0082;198.199;-0.0387745;0.0947672;0.0976415;-3.60465
92.8337;198.199;-0.0265803;0.0890277;0.0843134;-3.22439
101.659;198.199;-0.010551;0.0827454;0.069335;-2.80228
110.485;198.199;0.0169507;0.0737645;0.052913;-2.3549
-110.152;189.373;0.930837;0.00509071;0.0519073;-2.62466
-101.326;189.373;0.892086;0.00028279;0.0609836;-3.14674
-92.5009;189.373;0.791371;-0.00931049;0.0759515;-3.64102
-83.6754;189.373;0.655952;-0.0182798;0.0957478;-4.0966
-74.85;189.373;0.473169;-0.00939492;0.109668;-4.47303
-66.0245;189.373;0.255245;0.015544;0.119566;-4.77846
-57.1991;189.373;0.0654671;0.0352791;0.122341;-4.96942
-48.3736;189.373;0.000737889;0.0363478;0.1301;-5.2226
-39.5482;189.373;0.0191545;0.038535;0.12984;-5.51381
-30.7227;189.373;-0.0364448;0.0436505;0.135293;-5.72488
-21.8972;189.373;-0.082711;0.0500172;0.13682;-5.86117
-13.0718;189.373;-0.0487373;0.0597193;0.132923;-6.00838
-4.24634;189.373;0.0601943;0.0683298;0.128469;-6.15867
4.57912;189.373;0.120273;0.0730251;0.137633;-6.27179
13.4046;189.373;0.149755;0.0773966;0.148268;-6.30468
22.23;189.373;0.152561;0.0839085;0.154001;-6.27017
31.0555;189.373;0.146051;0.0902139;0.1514;-6.17623
39.8809;189.373;0.144224;0.0954137;0.142644;-6.03699
48.7064;189.373;0.148461;0.0998562;0.133042;-5.85594
57.5318;189.373;0.119586;0.104929;0.125726;-5.60977
66.3573;189.373;0.0844441;0.107969;0.119074;-5.31682
