x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.24634;224.675;0.375758;0.037722;0.0758091;-2.19194
4.57912;224.675;0.279688;0.0443981;0.0763306;-2.19537
13.4046;224.675;0.244098;0.0516399;0.074155;-2.17156
22.23;224.675;0.214277;0.0531675;0.0657782;-2.09705
31.0555;224.675;0.169214;0.0527517;0.0610033;-1.98645
-39.5482;215.85;0.228536;0.0264287;0.0972242;-2.50837
-30.7227;215.85;0.132185;0.0281023;0.103861;-2.64608
-21.8972;215.85;0.00690536;0.0335062;0.0958336;-2.69414
-13.0718;215.85;-0.0678567;0.0461969;0.0913594;-2.81333
-4.24634;215.85;-0.0400073;0.0507873;0.0937361;-2.93949
4.57912;215.85;-0.0137488;0.0549857;0.102603;-3.03423
13.4046;215.85;0.00217642;0.0593221;0.108302;-3.05724
22.23;215.85;0.0324511;0.0595365;0.106256;-3.02711
31.0555;215.85;0.0670344;0.0609866;0.101615;-2.96547
39.8809;215.85;0.0771415;0.0639455;0.0912904;-2.84564
48.7064;215.85;0.0358777;0.0664317;0.079333;-2.67253
57.5318;215.85;-0.0227074;0.0678364;0.0683627;-2.44541
66.3573;215.85;-0.0863275;0.0666372;0.0676212;-2.1889
75.1828;215.85;-0.127406;0.0637394;0.0663076;-1.90781
-74.85;207.024;0.59461;0.0146113;0.0701244;-2.41951
-66.0245;207.024;0.486612;0.0239793;0.0790999;-2.72404
-57.1991;207.024;0.307945;0.0289851;0.0920779;-2.97605
-48.3736;207.024;0.233351;0.0273288;0.106308;-3.26465
-39.5482;207.024;0.145739;0.0280235;0.117257;-3.46937
-30.7227;207.024;-0.153578;0.0333989;0.131073;-3.49467
-21.8972;207.024;-0.444783;0.0385627;0.128305;-3.42598
-13.0718;207.024;-0.518978;0.0494844;0.120118;-3.51589
-4.24634;207.024;-0.398179;0.0571344;0.114953;-3.69412
4.57912;207.024;-0.29085;0.06306;0.126613;-3.86566
13.4046;207.024;-0.188586;0.0670726;0.137378;-3.96848
22.23;207.024;-0.0832845;0.0684153;0.138703;-4.00759
31.0555;207.024;0.00173202;0.0708813;0.131009;-3.97568
39.8809;207.024;0.0396905;0.0762073;0.116185;-3.86752
48.7064;207.024;0.0246193;0.0802804;0.100394;-3.69723
57.5318;207.024;-0.0306136;0.0825849;0.0918323;-3.46422
66.3573;207.024;-0.0857333;0.0827403;0.0921252;-3.2004
