x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.24634;224.675;0.375758;0.0434322;0.0686326;-2.20006
4.57912;224.675;0.279688;0.0503478;0.0695465;-2.2044
13.4046;224.675;0.244098;0.0573802;0.0683505;-2.18334
22.23;224.675;0.214277;0.0586231;0.0605032;-2.10913
31.0555;224.675;0.169214;0.0578702;0.0555989;-1.99828
-39.5482;215.85;0.228536;0.030659;0.0917854;-2.52297
-30.7227;215.85;0.132185;0.0326489;0.098487;-2.66076
-21.8972;215.85;0.00690536;0.0381598;0.0904851;-2.70822
-13.0718;215.85;-0.0678567;0.0509806;0.0859783;-2.82694
-4.24634;215.85;-0.0400073;0.0560828;0.0881078;-2.95226
4.57912;215.85;-0.0137488;0.0607594;0.0972216;-3.0477
13.4046;215.85;0.00217642;0.0648955;0.103455;-3.07219
22.23;215.85;0.0324511;0.0647909;0.101251;-3.04019
31.0555;215.85;0.0670344;0.0660912;0.0958513;-2.97659
39.8809;215.85;0.0771415;0.0688323;0.0849229;-2.85616
48.7064;215.85;0.0358777;0.0711412;0.0729628;-2.68311
57.5318;215.85;-0.0227074;0.0727119;0.0616355;-2.4551
66.3573;215.85;-0.0863275;0.0714736;0.0603043;-2.19726
75.1828;215.85;-0.127406;0.068196;0.0585627;-1.91491
-74.85;207.024;0.59461;0.0176758;0.0643443;-2.43498
-66.0245;207.024;0.486612;0.0273597;0.0727704;-2.73719
-57.1991;207.024;0.307945;0.032688;0.0860572;-2.98851
-48.3736;207.024;0.233351;0.0313827;0.100312;-3.27706
-39.5482;207.024;0.145739;0.0324308;0.11131;-3.48276
-30.7227;207.024;-0.153578;0.03809;0.125574;-3.50874
-21.8972;207.024;-0.444783;0.0432195;0.12332;-3.44012
-13.0718;207.024;-0.518978;0.054054;0.115368;-3.53009
-4.24634;207.024;-0.398179;0.0619053;0.110084;-3.70826
4.57912;207.024;-0.29085;0.0681221;0.121591;-3.87972
13.4046;207.024;-0.188586;0.0718997;0.132799;-3.98314
