x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.24634;224.675;0.375758;0.037883;0.0767762;-2.18368
4.57912;224.675;0.279688;0.0445753;0.077068;-2.18515
13.4046;224.675;0.244098;0.0515969;0.0751342;-2.16024
22.23;224.675;0.214277;0.0531169;0.0669561;-2.08588
31.0555;224.675;0.169214;0.0526084;0.0618885;-1.97523
-39.5482;215.85;0.228536;0.026089;0.10025;-2.50028
-30.7227;215.85;0.132185;0.0277716;0.107263;-2.63929
-21.8972;215.85;0.00690536;0.0332866;0.0993701;-2.68814
-13.0718;215.85;-0.0678567;0.0460835;0.0941271;-2.8065
-4.24634;215.85;-0.0400073;0.0508809;0.0958096;-2.93059
4.57912;215.85;-0.0137488;0.0549471;0.104439;-3.02388
13.4046;215.85;0.00217642;0.058939;0.110433;-3.04679
22.23;215.85;0.0324511;0.0593059;0.108532;-3.01646
31.0555;215.85;0.0670344;0.0608214;0.103406;-2.95357
39.8809;215.85;0.0771415;0.0634775;0.0928686;-2.83362
48.7064;215.85;0.0358777;0.065817;0.0809556;-2.66065
57.5318;215.85;-0.0227074;0.0676036;0.0701895;-2.43358
66.3573;215.85;-0.0863275;0.0667242;0.0694275;-2.17697
75.1828;215.85;-0.127406;0.0639934;0.0678185;-1.89592
-74.85;207.024;0.59461;0.0137434;0.0725362;-2.41311
-66.0245;207.024;0.486612;0.0228788;0.0822975;-2.71887
-57.1991;207.024;0.307945;0.0279761;0.0952323;-2.96884
-48.3736;207.024;0.233351;0.0264356;0.109288;-3.25613
-39.5482;207.024;0.145739;0.0272332;0.120408;-3.46134
-30.7227;207.024;-0.153578;0.0329834;0.1346;-3.48755
-21.8972;207.024;-0.444783;0.0384342;0.132246;-3.41905
-13.0718;207.024;-0.518978;0.0494908;0.124016;-3.50849
-4.24634;207.024;-0.398179;0.0573012;0.118423;-3.68483
4.57912;207.024;-0.29085;0.0631752;0.129444;-3.85433
13.4046;207.024;-0.188586;0.066976;0.139692;-3.95579
22.23;207.024;-0.0832845;0.0684528;0.140741;-3.99416
31.0555;207.024;0.00173202;0.0709704;0.13291;-3.96143
39.8809;207.024;0.0396905;0.0760657;0.11824;-3.85319
48.7064;207.024;0.0246193;0.0799506;0.102613;-3.68309
57.5318;207.024;-0.0306136;0.0823679;0.094022;-3.45015
66.3573;207.024;-0.0857333;0.0825165;0.0942436;-3.18654
75.1828;207.024;-0.119264;0.0801919;0.0939672;-2.89739
84.0082;207.024;-0.122125;0.0751505;0.0866799;-2.57703
92.8337;207.024;-0.102492;0.0707341;0.068704;-2.20633
-110.152;198.199;0.893724;0.0164441;0.0441463;-1.66724
-101.326;198.199;0.790244;0.0102709;0.0600781;-2.13911
-92.5009;198.199;0.684541;0.000780725;0.0753928;-2.60979
-83.6754;198.199;0.63034;-0.0056694;0.0858795;-3.06085
-74.85;198.199;0.540479;0.00150313;0.0944988;-3.46968
-66.0245;198.199;0.373743;0.0176626;0.101869;-3.76413
-57.1991;198.199;0.150043;0.0315404;0.115758;-3.9837
-48.3736;198.199;0.108936;0.0316284;0.125427;-4.24626
-39.5482;198.199;0.0654755;0.0332166;0.130796;-4.46345
-30.7227;198.199;-0.178439;0.0379949;0.143581;-4.51636
-21.8972;198.199;-0.383967;0.0404615;0.144284;-4.49928
-13.0718;198.199;-0.404249;0.0487171;0.136712;-4.6047
-4.24634;198.199;-0.259576;0.0566975;0.128348;-4.77958
4.57912;198.199;-0.149092;0.0627947;0.138087;-4.94701
13.4046;198.199;-0.0598719;0.0686051;0.149761;-5.05506
22.23;198.199;0.00467943;0.0744859;0.153631;-5.08682
31.0555;198.199;0.0444207;0.0798272;0.147692;-5.03273
39.8809;198.199;0.062254;0.0852456;0.13498;-4.91042
48.7064;198.199;0.0619776;0.0894529;0.121773;-4.7379
57.5318;198.199;0.0215814;0.0931709;0.113672;-4.50246
66.3573;198.199;-0.0206234;0.095221;0.111123;-4.22821
75.1828;198.199;-0.044663;0.0944429;0.107454;-3.92453
84.0082;198.199;-0.0387745;0.0905383;0.100306;-3.5869
92.8337;198.199;-0.0265803;0.0847519;0.0870612;-3.20863
101.659;198.199;-0.010551;0.0781062;0.071487;-2.78735
110.485;198.199;0.0169507;0.0690476;0.0545227;-2.34211
-110.152;189.373;0.930837;0.00180898;0.0540305;-2.6063
-101.326;189.373;0.892086;-0.00403513;0.0648591;-3.13081
-92.5009;189.373;0.791371;-0.0140077;0.0807215;-3.62455
