x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.24634;224.675;0.375758;0.0362512;0.0684158;-1.99428
4.57912;224.675;0.279688;0.0413226;0.0674407;-1.9917
13.4046;224.675;0.244098;0.0459221;0.0682408;-1.96659
22.23;224.675;0.214277;0.0472092;0.0612969;-1.89272
31.0555;224.675;0.169214;0.0476399;0.0556812;-1.78649
-39.5482;215.85;0.228536;0.0208173;0.0983901;-2.29206
-30.7227;215.85;0.132185;0.0219668;0.105266;-2.41659
-21.8972;215.85;0.00690536;0.0278787;0.0980059;-2.4566
-13.0718;215.85;-0.0678567;0.0410816;0.0889341;-2.55267
-4.24634;215.85;-0.0400073;0.0467503;0.0849037;-2.65174
4.57912;215.85;-0.0137488;0.049252;0.0908573;-2.73115
13.4046;215.85;0.00217642;0.051026;0.0987308;-2.75282
22.23;215.85;0.0324511;0.0515339;0.0965645;-2.71955
31.0555;215.85;0.0670344;0.054584;0.0907292;-2.65966
39.8809;215.85;0.0771415;0.0573605;0.0824929;-2.55325
48.7064;215.85;0.0358777;0.0588113;0.0738787;-2.39885
57.5318;215.85;-0.0227074;0.0596065;0.0641739;-2.19115
66.3573;215.85;-0.0863275;0.0590255;0.0623103;-1.95669
75.1828;215.85;-0.127406;0.0572772;0.0609792;-1.70183
-74.85;207.024;0.59461;0.0138977;0.073224;-2.18616
-66.0245;207.024;0.486612;0.0223536;0.0807674;-2.46921
-57.1991;207.024;0.307945;0.0251979;0.0916857;-2.69927
-48.3736;207.024;0.233351;0.0218504;0.104726;-2.96483
-39.5482;207.024;0.145739;0.0222505;0.114924;-3.14789
-30.7227;207.024;-0.153578;0.0274312;0.127948;-3.16611
-21.8972;207.024;-0.444783;0.0331095;0.12599;-3.09779
-13.0718;207.024;-0.518978;0.0435653;0.115348;-3.16675
-4.24634;207.024;-0.398179;0.0505585;0.106231;-3.31345
4.57912;207.024;-0.29085;0.0544143;0.114229;-3.46198
13.4046;207.024;-0.188586;0.0566369;0.124831;-3.55584
