Index;ADC 1 channel 1 [V]
1;-0.00625036
2;-0.142994
3;-0.152424
4;0.486025
5;0.603038
6;0.772903
7;0.907787
8;1.02843
9;1.13691
10;1.23524
11;1.32908
12;1.42303
13;1.5112
14;1.60225
15;1.6878
16;1.77652
17;1.86636
18;1.95757
19;2.0439
20;2.13236
21;2.22367
22;2.31103
23;2.398
24;2.48573
25;2.57518
26;2.6525
27;2.7294
28;2.80656
29;2.88026
30;2.94714
31;3.01468
32;3.07548
33;3.13408
34;3.18749
35;3.23699
36;3.28976
37;3.33357
38;3.3752
39;3.40741
40;3.43952
41;3.47299
42;3.49506
43;3.50122
44;3.48998
45;3.47697
46;3.46852
47;3.46051
48;3.45875
49;3.45666
50;3.45061
51;3.44981
52;3.44748
53;3.45123
54;3.46254
55;3.46592
56;3.47166
57;3.48305
58;3.49175
59;3.5005
60;3.50875
61;3.51412
62;3.51886
63;3.52222
64;3.53189
65;3.53117
66;3.52694
67;3.52823
68;3.52895
69;3.53393
70;3.53471
71;3.53887
72;3.54041
73;3.54308
74;3.54602
75;3.55151
76;3.54769
77;3.54834
78;3.55026
79;3.55556
80;3.56109
81;3.55755
82;3.56246
83;3.5675
84;3.56702
85;3.56848
86;3.57105
87;3.56817
88;3.56846
89;3.56549
90;3.57061
91;3.57433
92;3.57574
93;3.57691
94;3.58248
95;3.58711
96;3.58643
97;3.58742
98;3.58443
99;3.58174
100;3.57756
101;3.58398
102;3.58654
103;3.59048
104;3.59207
105;3.59454
106;3.59551
107;3.60056
108;3.59638
109;3.58813
110;3.58713
111;3.58591
112;3.5884
113;3.59607
114;3.59697
115;3.59772
116;3.59856
117;3.6019
118;3.60056
119;3.59831
120;3.59954
121;3.59838
122;3.59586
123;3.59415
124;3.60127
125;3.60345
126;3.60108
127;3.60121
128;3.60009
129;3.60084
130;3.59732
131;3.59603
132;3.59129
133;3.59269
134;3.59537
135;3.59765
136;3.59802
137;3.59869
138;3.60207
139;3.60485
140;3.59666
141;3.59346
142;3.59168
143;3.58566
144;3.58656
145;3.58776
146;3.59096
147;3.59103
148;3.59324
149;3.5938
150;3.59294
151;3.58999
152;3.59201
153;3.58642
154;3.577
155;3.56992
156;3.5645
157;3.56383
158;3.55905
159;3.56062
160;3.55238
161;3.55156
162;3.55386
163;3.55019
164;3.55642
165;3.55248
166;3.55018
167;3.54941
168;3.55522
169;3.55261
170;3.5507
171;3.5577
172;3.55485
173;3.55146
174;3.55713
175;3.55199
176;3.56165
177;3.55524
178;3.55816
179;3.56074
180;3.55979
181;3.56298
182;3.56549
183;3.56079
184;3.56357
185;3.56765
186;3.56574
187;3.56547
188;3.56701
189;3.56955
190;3.56756
191;3.568
192;3.56927
193;3.56516
194;3.56958
195;3.56774
196;3.56647
197;3.5674
198;3.5703
199;3.56765
200;3.56923
201;3.56734
202;3.56898
203;3.5661
204;3.56735
205;3.56608
206;3.56475
207;3.56667
208;3.56731
209;3.5673
210;3.56737
211;3.5642
212;3.56331
213;3.56669
214;3.56358
215;3.56262
216;3.56106
217;3.56318
218;3.56325
219;3.56198
220;3.56415
221;3.56486
222;3.56667
223;3.56144
224;3.56232
225;3.56487
226;3.56159
227;3.5604
228;3.56266
229;3.55973
230;3.55788
231;3.55682
232;3.55361
233;3.55719
234;3.5559
235;3.55623
236;3.55943
237;3.55937
238;3.55818
239;3.56133
240;3.56323
241;3.56263
242;3.56348
243;3.56515
244;3.56106
245;3.56044
246;3.56015
247;3.55882
248;3.56008
249;3.55939
250;3.55787
251;3.56011
252;3.55949
253;3.55716
254;3.55857
255;3.55892
256;3.55751
257;3.5546
258;3.55561
259;3.55396
260;3.55454
261;3.55751
262;3.55677
263;3.55618
264;3.55299
265;3.55421
266;3.54854
267;3.54819
268;3.55075
269;3.54623
270;3.54922
271;3.55041
272;3.55015
273;3.55072
274;3.54887
275;3.54634
276;3.54982
277;3.54307
278;3.54692
279;3.54399
280;3.5466
281;3.54503
282;3.54476
283;3.5437
284;3.5443
285;3.53985
286;3.53652
287;3.5362
288;3.53793
289;3.53853
290;3.5392
291;3.54268
292;3.54506
293;3.5446
294;3.54495
295;3.54209
296;3.5434
297;3.54412
298;3.54271
299;3.5438
300;3.54405
301;3.54428
302;3.54405
303;3.54021
304;3.54334
305;3.54003
306;3.53953
307;3.54243
308;3.54231
309;3.54068
310;3.54124
311;3.54067
312;3.54239
313;3.53877
314;3.53883
315;3.53521
316;3.53223
317;3.53211
318;3.53099
319;3.52807
320;3.52948
321;3.52832
322;3.52842
323;3.52857
324;3.52745
325;3.52798
326;3.52836
327;3.52837
328;3.52908
329;3.52931
330;3.52777
331;3.52387
332;3.52399
333;3.51601
334;3.52136
335;3.51845
336;3.521
337;3.51926
338;3.51614
339;3.51609
340;3.51204
341;3.51333
342;3.5133
343;3.51492
344;3.51342
345;3.51472
346;3.51466
347;3.51666
348;3.51777
349;3.51952
350;3.52018
351;3.51835
352;3.51731
353;3.51704
354;3.51929
355;3.51674
356;3.5163
357;3.51968
358;3.51834
359;3.51752
360;3.51527
361;3.51692
362;3.5162
363;3.51601
364;3.5158
365;3.51285
366;3.51292
367;3.51193
368;3.51214
369;3.51249
370;3.51133
371;3.5125
372;3.51006
373;3.5078
374;3.50982
375;3.50862
376;3.50785
377;3.50509
378;3.5054
379;3.50393
380;3.50298
381;3.50457
382;3.50142
383;3.50198
384;3.50688
385;3.50774
386;3.5018
387;3.49854
388;3.50059
389;3.49046
390;3.49242
391;3.49067
392;3.48533
393;3.48303
394;3.48666
395;3.48892
396;3.48579
397;3.48406
398;3.48855
399;0.0114934
400;0.00587258
401;0.000857211
