x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.24634;224.675;0.375758;0.0411082;0.0739687;-2.16838
4.57912;224.675;0.279688;0.047554;0.0746187;-2.1711
13.4046;224.675;0.244098;0.0541157;0.073498;-2.14744
22.23;224.675;0.214277;0.0555435;0.0661031;-2.0732
31.0555;224.675;0.169214;0.0552458;0.0613025;-1.96262
-39.5482;215.85;0.228536;0.0288225;0.100175;-2.49165
-30.7227;215.85;0.132185;0.0304469;0.106199;-2.62522
-21.8972;215.85;0.00690536;0.0358367;0.0978538;-2.67166
-13.0718;215.85;-0.0678567;0.0485735;0.0923814;-2.78843
-4.24634;215.85;-0.0400073;0.0537755;0.0933928;-2.90967
4.57912;215.85;-0.0137488;0.057783;0.101792;-3.00139
13.4046;215.85;0.00217642;0.0612699;0.108368;-3.02425
22.23;215.85;0.0324511;0.0612943;0.106907;-2.99387
31.0555;215.85;0.0670344;0.0630381;0.101713;-2.93185
39.8809;215.85;0.0771415;0.0661098;0.0909749;-2.81189
48.7064;215.85;0.0358777;0.0687637;0.0790507;-2.63905
57.5318;215.85;-0.0227074;0.0704127;0.068126;-2.41388
66.3573;215.85;-0.0863275;0.0696181;0.0669724;-2.15959
75.1828;215.85;-0.127406;0.0668627;0.0651938;-1.8812
-74.85;207.024;0.59461;0.0173825;0.0726639;-2.40034
-66.0245;207.024;0.486612;0.0266737;0.0808892;-2.6997
-57.1991;207.024;0.307945;0.0314659;0.0944677;-2.9515
-48.3736;207.024;0.233351;0.0297015;0.109386;-3.24024
-39.5482;207.024;0.145739;0.0304301;0.120271;-3.44344
-30.7227;207.024;-0.153578;0.0357674;0.133662;-3.46667
-21.8972;207.024;-0.444783;0.0408784;0.13096;-3.39756
-13.0718;207.024;-0.518978;0.0518595;0.122679;-3.48573
-4.24634;207.024;-0.398179;0.0598712;0.116766;-3.65923
4.57912;207.024;-0.29085;0.0656904;0.127593;-3.82627
13.4046;207.024;-0.188586;0.0690253;0.138039;-3.92716
22.23;207.024;-0.0832845;0.0702006;0.139151;-3.96463
31.0555;207.024;0.00173202;0.0727957;0.131148;-3.93192
39.8809;207.024;0.0396905;0.0781515;0.116479;-3.82409
48.7064;207.024;0.0246193;0.0824754;0.100869;-3.65368
57.5318;207.024;-0.0306136;0.0849317;0.0922159;-3.42237
66.3573;207.024;-0.0857333;0.085205;0.0923053;-3.16175
75.1828;207.024;-0.119264;0.0828158;0.0918712;-2.87559
84.0082;207.024;-0.122125;0.0775822;0.0849078;-2.55878
92.8337;207.024;-0.102492;0.0729174;0.0677793;-2.19318
-110.152;198.199;0.893724;0.0193748;0.0421798;-1.65542
-101.326;198.199;0.790244;0.0134106;0.0588062;-2.12393
-92.5009;198.199;0.684541;0.00405862;0.0753104;-2.59361
-83.6754;198.199;0.63034;-0.00216452;0.0867968;-3.04355
-74.85;198.199;0.540479;0.00518519;0.0956353;-3.45037
-66.0245;198.199;0.373743;0.0211387;0.101239;-3.73685
-57.1991;198.199;0.150043;0.0348634;0.114717;-3.95454
-48.3736;198.199;0.108936;0.0347999;0.124666;-4.21618
-39.5482;198.199;0.0654755;0.0362797;0.130051;-4.43192
-30.7227;198.199;-0.178439;0.0407278;0.142933;-4.48439
-21.8972;198.199;-0.383967;0.0430238;0.143451;-4.46704
-13.0718;198.199;-0.404249;0.0513771;0.135507;-4.57083
-4.24634;198.199;-0.259576;0.0596075;0.126828;-4.74302
4.57912;198.199;-0.149092;0.0656946;0.136618;-4.90829
13.4046;198.199;-0.0598719;0.0712344;0.1482;-5.01507
22.23;198.199;0.00467943;0.0766852;0.151938;-5.04642
31.0555;198.199;0.0444207;0.0816602;0.146064;-4.9933
39.8809;198.199;0.062254;0.0870156;0.133629;-4.87235
48.7064;198.199;0.0619776;0.0917324;0.120332;-4.69979
57.5318;198.199;0.0215814;0.0957695;0.111948;-4.46544
66.3573;198.199;-0.0206234;0.0978896;0.109116;-4.19309
75.1828;198.199;-0.044663;0.096938;0.105508;-3.8923
84.0082;198.199;-0.0387745;0.0927519;0.098667;-3.55865
92.8337;198.199;-0.0265803;0.0866923;0.0858662;-3.18562
101.659;198.199;-0.010551;0.0805372;0.0704771;-2.76683
110.485;198.199;0.0169507;0.0721569;0.0536696;-2.32391
-110.152;189.373;0.930837;0.00485322;0.0538022;-2.58799
-101.326;189.373;0.892086;-0.000480444;0.0646424;-3.1074
-92.5009;189.373;0.791371;-0.00974078;0.0805707;-3.59693
-83.6754;189.373;0.655952;-0.0180521;0.100731;-4.04728
-74.85;189.373;0.473169;-0.00963111;0.11513;-4.42214
-66.0245;189.373;0.255245;0.0141762;0.125277;-4.72621
-57.1991;189.373;0.0654671;0.0330841;0.127041;-4.91294
-48.3736;189.373;0.000737889;0.0339155;0.134379;-5.15991
