x[mm];y[mm];z[mm];x-displacement[mm];y-displacement[mm];z-displacement[mm]
-4.24634;224.675;0.375758;0.041197;0.0747082;-2.19861
4.57912;224.675;0.279688;0.0481708;0.0749728;-2.20131
13.4046;224.675;0.244098;0.0553524;0.0726097;-2.17776
22.23;224.675;0.214277;0.0567332;0.0640864;-2.10241
31.0555;224.675;0.169214;0.0561477;0.0594818;-1.99215
-39.5482;215.85;0.228536;0.0293729;0.0950199;-2.51512
-30.7227;215.85;0.132185;0.0310483;0.10214;-2.65295
-21.8972;215.85;0.00690536;0.0364638;0.094238;-2.70091
-13.0718;215.85;-0.0678567;0.0492469;0.0899706;-2.82117
-4.24634;215.85;-0.0400073;0.0542179;0.0925385;-2.94788
4.57912;215.85;-0.0137488;0.0588623;0.101595;-3.04326
13.4046;215.85;0.00217642;0.0630114;0.10711;-3.06629
22.23;215.85;0.0324511;0.062893;0.104606;-3.03442
31.0555;215.85;0.0670344;0.0643015;0.099896;-2.97232
39.8809;215.85;0.0771415;0.0670416;0.0893499;-2.85145
48.7064;215.85;0.0358777;0.0693055;0.077213;-2.67732
57.5318;215.85;-0.0227074;0.0709685;0.0658034;-2.4488
66.3573;215.85;-0.0863275;0.0699678;0.0644794;-2.19148
75.1828;215.85;-0.127406;0.0667913;0.0625002;-1.90892
-74.85;207.024;0.59461;0.0168103;0.0683548;-2.42902
-66.0245;207.024;0.486612;0.0264705;0.0765407;-2.73138
-57.1991;207.024;0.307945;0.0318713;0.0888957;-2.98132
-48.3736;207.024;0.233351;0.0302293;0.1028;-3.26926
-39.5482;207.024;0.145739;0.0309577;0.114154;-3.47495
-30.7227;207.024;-0.153578;0.0366537;0.128699;-3.50011
-21.8972;207.024;-0.444783;0.041873;0.126449;-3.43116
-13.0718;207.024;-0.518978;0.0527016;0.11869;-3.52277
-4.24634;207.024;-0.398179;0.0603746;0.113848;-3.70299
4.57912;207.024;-0.29085;0.0665656;0.125463;-3.87505
13.4046;207.024;-0.188586;0.0704296;0.136294;-3.97807
22.23;207.024;-0.0832845;0.071676;0.1376;-4.01683
31.0555;207.024;0.00173202;0.0743787;0.129779;-3.98441
39.8809;207.024;0.0396905;0.0799699;0.114353;-3.87449
48.7064;207.024;0.0246193;0.0840431;0.0982304;-3.70286
57.5318;207.024;-0.0306136;0.0863983;0.0896963;-3.46993
66.3573;207.024;-0.0857333;0.0865039;0.089724;-3.20595
75.1828;207.024;-0.119264;0.0838291;0.0889003;-2.91477
84.0082;207.024;-0.122125;0.0787252;0.0817303;-2.59375
92.8337;207.024;-0.102492;0.0745286;0.0644493;-2.22385
-110.152;198.199;0.893724;0.0192719;0.0393912;-1.68
-101.326;198.199;0.790244;0.0132661;0.0556656;-2.15455
-92.5009;198.199;0.684541;0.00382892;0.0711073;-2.62819
-83.6754;198.199;0.63034;-0.00280913;0.0821734;-3.08154
-74.85;198.199;0.540479;0.00465658;0.0905939;-3.48993
-66.0245;198.199;0.373743;0.0213919;0.0967548;-3.78126
-57.1991;198.199;0.150043;0.0357114;0.110025;-3.99979
-48.3736;198.199;0.108936;0.0356266;0.119625;-4.26273
-39.5482;198.199;0.0654755;0.0369846;0.124621;-4.47964
-30.7227;198.199;-0.178439;0.0415213;0.137103;-4.5319
-21.8972;198.199;-0.383967;0.0439361;0.137705;-4.51514
-13.0718;198.199;-0.404249;0.0522447;0.130357;-4.62248
-4.24634;198.199;-0.259576;0.0601402;0.122453;-4.80013
4.57912;198.199;-0.149092;0.0661369;0.132687;-4.96955
13.4046;198.199;-0.0598719;0.071602;0.145455;-5.0793
22.23;198.199;0.00467943;0.0773355;0.150227;-5.11277
31.0555;198.199;0.0444207;0.0829446;0.144345;-5.05897
39.8809;198.199;0.062254;0.0889015;0.130935;-4.93563
48.7064;198.199;0.0619776;0.0933931;0.117517;-4.76312
57.5318;198.199;0.0215814;0.0973289;0.109663;-4.52871
66.3573;198.199;-0.0206234;0.0994216;0.106922;-4.25394
75.1828;198.199;-0.044663;0.0982834;0.102676;-3.94734
84.0082;198.199;-0.0387745;0.0940014;0.0951439;-3.60711
92.8337;198.199;-0.0265803;0.0881047;0.0818821;-3.22736
101.659;198.199;-0.010551;0.0814056;0.0669027;-2.80594
110.485;198.199;0.0169507;0.0720396;0.0502787;-2.35956
-110.152;189.373;0.930837;0.00484112;0.0491628;-2.62257
-101.326;189.373;0.892086;-0.000741479;0.0595111;-3.14862
-92.5009;189.373;0.791371;-0.0104975;0.0751876;-3.6444
-83.6754;189.373;0.655952;-0.0191159;0.095479;-4.09903
-74.85;189.373;0.473169;-0.0100079;0.109598;-4.47396
-66.0245;189.373;0.255245;0.0149073;0.119736;-4.7807
-57.1991;189.373;0.0654671;0.0343117;0.122025;-4.97052
-48.3736;189.373;0.000737889;0.0350775;0.129449;-5.22089
-39.5482;189.373;0.0191545;0.0370771;0.129204;-5.50982
-30.7227;189.373;-0.0364448;0.0423237;0.134871;-5.72112
-21.8972;189.373;-0.082711;0.0488257;0.13631;-5.8576
-13.0718;189.373;-0.0487373;0.0585411;0.132313;-6.00496
-4.24634;189.373;0.0601943;0.0670128;0.127781;-6.15492
4.57912;189.373;0.120273;0.0716208;0.136694;-6.26662
13.4046;189.373;0.149755;0.0760864;0.147067;-6.29834
22.23;189.373;0.152561;0.0826878;0.152743;-6.2643
31.0555;189.373;0.146051;0.0889935;0.150327;-6.17138
