Far field
"Theta"[deg]	"ePlane [dBi]"	
-1.00000000E+01	1.11573372E+00	
-9.95000000E+00	7.40893447E-01	
-9.90000000E+00	1.93129529E-01	
-9.85000000E+00	-5.55470738E-01	
-9.80000000E+00	-1.54780158E+00	
-9.75000000E+00	-2.85214797E+00	
-9.70000000E+00	-4.58385814E+00	
-9.65000000E+00	-6.95534235E+00	
-9.60000000E+00	-1.04013569E+01	
-9.55000000E+00	-1.57047267E+01	
-9.50000000E+00	-1.78953561E+01	
-9.45000000E+00	-1.19708951E+01	
-9.40000000E+00	-7.71032448E+00	
-9.35000000E+00	-4.80401977E+00	
-9.30000000E+00	-2.66885251E+00	
-9.25000000E+00	-1.02693329E+00	
-9.20000000E+00	2.66765531E-01	
-9.15000000E+00	1.29571725E+00	
-9.10000000E+00	2.11151409E+00	
-9.05000000E+00	2.74759986E+00	
-9.00000000E+00	3.22623943E+00	
-8.95000000E+00	3.56231571E+00	
-8.90000000E+00	3.76550503E+00	
-8.85000000E+00	3.84156061E+00	
-8.80000000E+00	3.79307415E+00	
-8.75000000E+00	3.61992041E+00	
-8.70000000E+00	3.31951846E+00	
-8.65000000E+00	2.88703647E+00	
-8.60000000E+00	2.31573533E+00	
-8.55000000E+00	1.59786006E+00	
-8.50000000E+00	7.27029892E-01	
-8.45000000E+00	-2.95635311E-01	
-8.40000000E+00	-1.44670160E+00	
-8.35000000E+00	-2.64834993E+00	
-8.30000000E+00	-3.71710168E+00	
-8.25000000E+00	-4.34948414E+00	
-8.20000000E+00	-4.28933644E+00	
-8.15000000E+00	-3.59241937E+00	
-8.10000000E+00	-2.56239199E+00	
-8.05000000E+00	-1.47437459E+00	
-8.00000000E+00	-4.75894652E-01	
-7.95000000E+00	3.74620836E-01	
-7.90000000E+00	1.06076275E+00	
-7.85000000E+00	1.58231179E+00	
-7.80000000E+00	1.94382913E+00	
-7.75000000E+00	2.15007075E+00	
-7.70000000E+00	2.20434618E+00	
-7.65000000E+00	2.10821264E+00	
-7.60000000E+00	1.86202178E+00	
-7.55000000E+00	1.46652631E+00	
-7.50000000E+00	9.26488142E-01	
-7.45000000E+00	2.58358884E-01	
-7.40000000E+00	-4.94459522E-01	
-7.35000000E+00	-1.23618892E+00	
-7.30000000E+00	-1.79477399E+00	
-7.25000000E+00	-1.95115460E+00	
-7.20000000E+00	-1.57314485E+00	
-7.15000000E+00	-7.35908794E-01	
-7.10000000E+00	3.50859231E-01	
-7.05000000E+00	1.49539363E+00	
-7.00000000E+00	2.58270598E+00	
-6.95000000E+00	3.55889646E+00	
-6.90000000E+00	4.40370203E+00	
-6.85000000E+00	5.11233653E+00	
-6.80000000E+00	5.68604124E+00	
-6.75000000E+00	6.12757465E+00	
-6.70000000E+00	6.43909693E+00	
-6.65000000E+00	6.62111648E+00	
-6.60000000E+00	6.67183882E+00	
-6.55000000E+00	6.58657138E+00	
-6.50000000E+00	6.35695617E+00	
-6.45000000E+00	5.96980560E+00	
-6.40000000E+00	5.40521908E+00	
-6.35000000E+00	4.63341235E+00	
-6.30000000E+00	3.60915745E+00	
-6.25000000E+00	2.26157680E+00	
-6.20000000E+00	4.74705568E-01	
-6.15000000E+00	-1.94766017E+00	
-6.10000000E+00	-5.29581556E+00	
-6.05000000E+00	-9.13335698E+00	
-6.00000000E+00	-8.37557057E+00	
-5.95000000E+00	-4.20070043E+00	
-5.90000000E+00	-8.20364279E-01	
-5.85000000E+00	1.69061534E+00	
-5.80000000E+00	3.61283699E+00	
-5.75000000E+00	5.12385383E+00	
-5.70000000E+00	6.32902788E+00	
-5.65000000E+00	7.29345352E+00	
-5.60000000E+00	8.05912377E+00	
-5.55000000E+00	8.65399646E+00	
-5.50000000E+00	9.09699154E+00	
-5.45000000E+00	9.40088346E+00	
-5.40000000E+00	9.57405700E+00	
-5.35000000E+00	9.62163543E+00	
-5.30000000E+00	9.54627985E+00	
-5.25000000E+00	9.34887945E+00	
-5.20000000E+00	9.02936284E+00	
-5.15000000E+00	8.58796878E+00	
-5.10000000E+00	8.02756686E+00	
-5.05000000E+00	7.35808026E+00	
-5.00000000E+00	6.60467665E+00	
-4.95000000E+00	5.82133534E+00	
-4.90000000E+00	5.10733018E+00	
-4.85000000E+00	4.60972499E+00	
-4.80000000E+00	4.47758476E+00	
-4.75000000E+00	4.76816747E+00	
-4.70000000E+00	5.40011097E+00	
-4.65000000E+00	6.21769720E+00	
-4.60000000E+00	7.08043749E+00	
-4.55000000E+00	7.89776154E+00	
-4.50000000E+00	8.62171913E+00	
-4.45000000E+00	9.23044239E+00	
-4.40000000E+00	9.71571863E+00	
-4.35000000E+00	1.00758376E+01	
-4.30000000E+00	1.03120023E+01	
-4.25000000E+00	1.04268410E+01	
-4.20000000E+00	1.04242391E+01	
-4.15000000E+00	1.03102384E+01	
-4.10000000E+00	1.00951412E+01	
-4.05000000E+00	9.79721156E+00	
-4.00000000E+00	9.44830960E+00	
-3.95000000E+00	9.10071647E+00	
-3.90000000E+00	8.83105193E+00	
-3.85000000E+00	8.73182244E+00	
-3.80000000E+00	8.88175323E+00	
-3.75000000E+00	9.30596487E+00	
-3.70000000E+00	9.96089382E+00	
-3.65000000E+00	1.07603400E+01	
-3.60000000E+00	1.16152857E+01	
-3.55000000E+00	1.24571019E+01	
-3.50000000E+00	1.32410974E+01	
-3.45000000E+00	1.39409675E+01	
-3.40000000E+00	1.45420414E+01	
-3.35000000E+00	1.50361049E+01	
-3.30000000E+00	1.54179949E+01	
-3.25000000E+00	1.56834610E+01	
-3.20000000E+00	1.58277843E+01	
-3.15000000E+00	1.58447851E+01	
-3.10000000E+00	1.57259797E+01	
-3.05000000E+00	1.54597375E+01	
-3.00000000E+00	1.50303884E+01	
-2.95000000E+00	1.44174440E+01	
-2.90000000E+00	1.35957755E+01	
-2.85000000E+00	1.25398936E+01	
-2.80000000E+00	1.12433139E+01	
-2.75000000E+00	9.78770524E+00	
-2.70000000E+00	8.52838653E+00	
-2.65000000E+00	8.23572987E+00	
-2.60000000E+00	9.35010599E+00	
-2.55000000E+00	1.12554206E+01	
-2.50000000E+00	1.32480545E+01	
-2.45000000E+00	1.50503724E+01	
-2.40000000E+00	1.66091202E+01	
-2.35000000E+00	1.79375339E+01	
-2.30000000E+00	1.90612907E+01	
-2.25000000E+00	2.00038865E+01	
-2.20000000E+00	2.07835936E+01	
-2.15000000E+00	2.14134627E+01	
-2.10000000E+00	2.19019290E+01	
-2.05000000E+00	2.22533552E+01	
-2.00000000E+00	2.24683547E+01	
-1.95000000E+00	2.25438784E+01	
-1.90000000E+00	2.24731109E+01	
-1.85000000E+00	2.22453001E+01	
-1.80000000E+00	2.18459082E+01	
-1.75000000E+00	2.12582571E+01	
-1.70000000E+00	2.04702677E+01	
-1.65000000E+00	1.94969348E+01	
-1.60000000E+00	1.84454751E+01	
-1.55000000E+00	1.76511902E+01	
-1.50000000E+00	1.77099876E+01	
-1.45000000E+00	1.89204038E+01	
-1.40000000E+00	2.08419800E+01	
-1.35000000E+00	2.29199482E+01	
-1.30000000E+00	2.48896760E+01	
-1.25000000E+00	2.66785949E+01	
-1.20000000E+00	2.82853296E+01	
-1.15000000E+00	2.97281789E+01	
-1.10000000E+00	3.10280974E+01	
-1.05000000E+00	3.22038686E+01	
-1.00000000E+00	3.32711792E+01	
-9.50000000E-01	3.42428390E+01	
-9.00000000E-01	3.51292620E+01	
-8.50000000E-01	3.59389390E+01	
-8.00000000E-01	3.66788335E+01	
-7.50000000E-01	3.73546958E+01	
-7.00000000E-01	3.79713060E+01	
-6.50000000E-01	3.85326617E+01	
-6.00000000E-01	3.90421240E+01	
-5.50000000E-01	3.95025292E+01	
-5.00000000E-01	3.99162777E+01	
-4.50000000E-01	4.02854022E+01	
-4.00000000E-01	4.06116227E+01	
-3.50000000E-01	4.08963896E+01	
-3.00000000E-01	4.11409179E+01	
-2.50000000E-01	4.13462145E+01	
-2.00000000E-01	4.15130993E+01	
-1.50000000E-01	4.16422226E+01	
-1.00000000E-01	4.17340774E+01	
-5.00000000E-02	4.17890091E+01	
0.00000000E+00	4.18072218E+01	
5.00000000E-02	4.17887826E+01	
1.00000000E-01	4.17336221E+01	
1.50000000E-01	4.16415335E+01	
2.00000000E-01	4.15121690E+01	
2.50000000E-01	4.13450328E+01	
3.00000000E-01	4.11394717E+01	
3.50000000E-01	4.08946624E+01	
4.00000000E-01	4.06095943E+01	
4.50000000E-01	4.02830482E+01	
5.00000000E-01	3.99135689E+01	
5.50000000E-01	3.94994306E+01	
6.00000000E-01	3.90385935E+01	
6.50000000E-01	3.85286492E+01	
7.00000000E-01	3.79667511E+01	
7.50000000E-01	3.73495255E+01	
8.00000000E-01	3.66729587E+01	
8.50000000E-01	3.59322504E+01	
9.00000000E-01	3.51216240E+01	
9.50000000E-01	3.42340811E+01	
1.00000000E+00	3.32610841E+01	
1.05000000E+00	3.21921556E+01	
1.10000000E+00	3.10143976E+01	
1.15000000E+00	2.97120009E+01	
1.20000000E+00	2.82660120E+01	
1.25000000E+00	2.66552529E+01	
1.30000000E+00	2.48611860E+01	
1.35000000E+00	2.28851691E+01	
1.40000000E+00	2.08009119E+01	
1.45000000E+00	1.88777152E+01	
1.50000000E+00	1.76783415E+01	
1.55000000E+00	1.76405049E+01	
1.60000000E+00	1.84511526E+01	
1.65000000E+00	1.95103125E+01	
1.70000000E+00	2.04861416E+01	
1.75000000E+00	2.12742847E+01	
1.80000000E+00	2.18611133E+01	
1.85000000E+00	2.22592770E+01	
1.90000000E+00	2.24856776E+01	
1.95000000E+00	2.25549276E+01	
2.00000000E+00	2.24777858E+01	
2.05000000E+00	2.22610396E+01	
2.10000000E+00	2.19076850E+01	
2.15000000E+00	2.14170333E+01	
2.20000000E+00	2.07846176E+01	
2.25000000E+00	2.00018598E+01	
2.30000000E+00	1.90555093E+01	
2.35000000E+00	1.79270138E+01	
2.40000000E+00	1.65924993E+01	
2.45000000E+00	1.50258552E+01	
2.50000000E+00	1.32137241E+01	
2.55000000E+00	1.12112561E+01	
2.60000000E+00	9.30520680E+00	
2.65000000E+00	8.21640517E+00	
2.70000000E+00	8.55181644E+00	
2.75000000E+00	9.83858838E+00	
2.80000000E+00	1.13041404E+01	
2.85000000E+00	1.26027553E+01	
2.90000000E+00	1.36580418E+01	
2.95000000E+00	1.44784767E+01	
3.00000000E+00	1.50902317E+01	
3.05000000E+00	1.55186487E+01	
3.10000000E+00	1.57842623E+01	
3.15000000E+00	1.59027278E+01	
3.20000000E+00	1.58856364E+01	
3.25000000E+00	1.57414166E+01	
3.30000000E+00	1.54761735E+01	
3.35000000E+00	1.50945199E+01	
3.40000000E+00	1.46005456E+01	
3.45000000E+00	1.39991638E+01	
3.50000000E+00	1.32981966E+01	
3.55000000E+00	1.25117135E+01	
3.60000000E+00	1.16651572E+01	
3.65000000E+00	1.08021580E+01	
3.70000000E+00	9.99047153E+00	
3.75000000E+00	9.31932472E+00	
3.80000000E+00	8.87717094E+00	
3.85000000E+00	8.71146673E+00	
3.90000000E+00	8.80033931E+00	
3.95000000E+00	9.06581688E+00	
4.00000000E+00	9.41411213E+00	
4.05000000E+00	9.76679436E+00	
4.10000000E+00	1.00701648E+01	
4.15000000E+00	1.02915219E+01	
4.20000000E+00	1.04122095E+01	
4.25000000E+00	1.04218238E+01	
4.30000000E+00	1.03144047E+01	
4.35000000E+00	1.00862773E+01	
4.40000000E+00	9.73513247E+00	
4.45000000E+00	9.26019567E+00	
4.50000000E+00	8.66370957E+00	
4.55000000E+00	7.95446611E+00	
4.60000000E+00	7.15473386E+00	
4.65000000E+00	6.31205927E+00	
4.70000000E+00	5.51454487E+00	
4.75000000E+00	4.89687710E+00	
4.80000000E+00	4.60727823E+00	
4.85000000E+00	4.72443937E+00	
4.90000000E+00	5.19706388E+00	
4.95000000E+00	5.88487370E+00	
5.00000000E+00	6.64594141E+00	
5.05000000E+00	7.38211065E+00	
5.10000000E+00	8.03865148E+00	
5.15000000E+00	8.58924505E+00	
5.20000000E+00	9.02295641E+00	
5.25000000E+00	9.33614226E+00	
5.30000000E+00	9.52798798E+00	
5.35000000E+00	9.59812261E+00	
5.40000000E+00	9.54529003E+00	
5.45000000E+00	9.36648831E+00	
5.50000000E+00	9.05623318E+00	
5.55000000E+00	8.60570610E+00	
5.60000000E+00	8.00155286E+00	
5.65000000E+00	7.22400876E+00	
5.70000000E+00	6.24378928E+00	
5.75000000E+00	5.01665834E+00	
5.80000000E+00	3.47340652E+00	
5.85000000E+00	1.50036107E+00	
5.90000000E+00	-1.09869281E+00	
5.95000000E+00	-4.64706391E+00	
6.00000000E+00	-9.04240580E+00	
6.05000000E+00	-9.21876649E+00	
6.10000000E+00	-5.04684596E+00	
6.15000000E+00	-1.69483719E+00	
6.20000000E+00	7.00977947E-01	
6.25000000E+00	2.46571097E+00	
