Far field
"Theta"[deg]	"ePlane [dBi]"	
-2.20000000E+00	1.47911123E+01	
-2.15000000E+00	1.67187391E+01	
-2.10000000E+00	1.83900340E+01	
-2.05000000E+00	1.98092540E+01	
-2.00000000E+00	2.10007000E+01	
-1.95000000E+00	2.19881024E+01	
-1.90000000E+00	2.27898978E+01	
-1.85000000E+00	2.34187891E+01	
-1.80000000E+00	2.38822579E+01	
-1.75000000E+00	2.41831364E+01	
-1.70000000E+00	2.43200869E+01	
-1.65000000E+00	2.42881629E+01	
-1.60000000E+00	2.40800154E+01	
-1.55000000E+00	2.36892397E+01	
-1.50000000E+00	2.31197352E+01	
-1.45000000E+00	2.24104652E+01	
-1.40000000E+00	2.16922237E+01	
-1.35000000E+00	2.12695480E+01	
-1.30000000E+00	2.15696888E+01	
-1.25000000E+00	2.27533587E+01	
-1.20000000E+00	2.45074827E+01	
-1.15000000E+00	2.64276386E+01	
-1.10000000E+00	2.82868842E+01	
-1.05000000E+00	3.00031899E+01	
-1.00000000E+00	3.15606190E+01	
-9.50000000E-01	3.29668259E+01	
-9.00000000E-01	3.42359430E+01	
-8.50000000E-01	3.53824748E+01	
-8.00000000E-01	3.64193886E+01	
-7.50000000E-01	3.73577194E+01	
-7.00000000E-01	3.82066834E+01	
-6.50000000E-01	3.89739313E+01	
-6.00000000E-01	3.96658106E+01	
-5.50000000E-01	4.02875963E+01	
-5.00000000E-01	4.08436808E+01	
-4.50000000E-01	4.13377267E+01	
-4.00000000E-01	4.17727885E+01	
-3.50000000E-01	4.21514076E+01	
-3.00000000E-01	4.24756881E+01	
-2.50000000E-01	4.27473556E+01	
-2.00000000E-01	4.29678033E+01	
-1.50000000E-01	4.31381277E+01	
-1.00000000E-01	4.32591554E+01	
-5.00000000E-02	4.33314630E+01	
0.00000000E+00	4.33553901E+01	
5.00000000E-02	4.33310476E+01	
1.00000000E-01	4.32583200E+01	
1.50000000E-01	4.31368625E+01	
2.00000000E-01	4.29660936E+01	
2.50000000E-01	4.27451810E+01	
3.00000000E-01	4.24730223E+01	
3.50000000E-01	4.21482173E+01	
4.00000000E-01	4.17690326E+01	
4.50000000E-01	4.13333550E+01	
5.00000000E-01	4.08386321E+01	
5.50000000E-01	4.02817965E+01	
6.00000000E-01	3.96591696E+01	
6.50000000E-01	3.89663392E+01	
7.00000000E-01	3.81980059E+01	
7.50000000E-01	3.73477910E+01	
8.00000000E-01	3.64080040E+01	
8.50000000E-01	3.53693783E+01	
9.00000000E-01	3.42208148E+01	
9.50000000E-01	3.29492682E+01	
1.00000000E+00	3.15401487E+01	
1.05000000E+00	2.99792619E+01	
1.10000000E+00	2.82590208E+01	
1.15000000E+00	2.63958734E+01	
1.20000000E+00	2.44735818E+01	
1.25000000E+00	2.27230457E+01	
1.30000000E+00	2.15526365E+01	
1.35000000E+00	2.12709636E+01	
1.40000000E+00	2.17070833E+01	
1.45000000E+00	2.24310837E+01	
1.50000000E+00	2.31413202E+01	
1.55000000E+00	2.37095941E+01	
1.60000000E+00	2.40982393E+01	
1.65000000E+00	2.43038842E+01	
1.70000000E+00	2.43331073E+01	
1.75000000E+00	2.41932724E+01	
1.80000000E+00	2.38892621E+01	
1.85000000E+00	2.34222964E+01	
1.90000000E+00	2.27893730E+01	
1.95000000E+00	2.19827722E+01	
2.00000000E+00	2.09894561E+01	
2.05000000E+00	1.97905135E+01	
2.10000000E+00	1.83615649E+01	
2.15000000E+00	1.66775689E+01	
2.20000000E+00	1.47341586E+01	
2.25000000E+00	1.26239609E+01	
2.30000000E+00	1.07379156E+01	
2.35000000E+00	9.88427129E+00	
2.40000000E+00	1.04356672E+01	
2.45000000E+00	1.17002684E+01	
2.50000000E+00	1.29928190E+01	
