% Model:              electrostatically actuated reflector 50-cm.mph
% Version:            COMSOL 6.3.0.335
% Date:               Jun 10 2025, 01:07
% Dimension:          1
% Nodes:              102
% Expressions:        1
% Description:        Global
% -zset (mm)              Value
5                         5.861077393608557
5.5                       7.339341023469208
6                         7.770128784571711
6.500000000000001         8.202173566127827
7                         8.635649183125409
7.5                       9.070380621508527
8                         9.505937852793581
8.5                       9.941706976391234
9.000000000000002         10.376943997821016
9.5                       10.810815510051397
10                        11.242429395005336
10.5                      11.67085788100511
11                        12.095154737009992
11.5                      12.514367973608799
12                        12.927549108520703
12.5                      13.333759813595634
13.000000000000002        13.732076573355275
13.5                      14.121593839649968
14                        14.501426053883819
14.5                      14.870708820440246
15                        15.228599446897581
15.5                      15.574277013986917
16                        15.906942097553818
16.5                      16.225816233313697
17                        16.53014119079371
17.5                      16.819178103860075
18.000000000000004        17.09220649034046
18.5                      17.3485231814703
19                        17.587441172469088
19.5                      17.808288397944196
20                        18.010406429663934
20.5                      18.193149089356066
21                        18.355880965574993
21.5                      18.497975821563305
22                        18.618814880900366
22.5                      18.717784980418752
23                        18.794276586661393
23.5                      18.84768168490959
24                        18.87739157112913
24.5                      18.88279461055788
25                        18.86327407667962
25.500000000000004        18.818206256850672
26.000000000000004        18.746959113184534
26.5                      18.64889192852976
27                        18.523356558967496
27.5                      18.36970117168402
28                        18.187277693821898
28.5                      17.975454674950644
29                        17.733637953497393
29.500000000000004        17.46130258682522
30                        17.158041344105925
5                         3.179155511822933
5.5                       4.268738196126253
6                         4.9067059366802575
6.500000000000001         5.5247256706010255
7                         6.126203586949931
7.5                       6.713365389551248
8                         7.287661059416571
8.5                       7.850009101345047
9.000000000000002         8.40095232439025
9.5                       8.940761265845028
10                        9.469505422149663
10.5                      9.987103706784973
11                        10.493361101280742
11.5                      10.987995876216633
12                        11.470660143256906
12.5                      11.94095563829169
13.000000000000002        12.398445995514267
13.5                      12.842666412736381
14                        13.273131344688156
14.5                      13.689340690896566
15                        14.090784825075108
15.5                      14.47694872913722
16                        14.847315433872703
16.5                      15.201368936618685
17                        15.5385966949153
17.5                      15.858491856863875
18.000000000000004        16.16055526254969
18.5                      16.444297335898128
19                        16.70923992579256
19.5                      16.954918171333638
20                        17.1808824619004
20.5                      17.386700565458515
21                        17.5719600031561
21.5                      17.73627075053628
22                        17.879268382756305
22.5                      18.000617709979174
23                        18.100017051357028
23.5                      18.177203299697787
24                        18.23195775794351
24.5                      18.26411300340415
25                        18.273560560255827
25.500000000000004        18.260259755469882
26.000000000000004        18.224247026206875
26.5                      18.16564572082019
27                        18.084675376733504
27.5                      17.981659410986325
28                        17.857029229585983
28.5                      17.711323241639896
29                        17.54517816325527
29.500000000000004        17.35931022509006
30                        17.154489980792714
