% Model:              electrostatically actuated reflector 50-cm tension study.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 26 2025, 14:57
% Dimension:          1
% Nodes:              450
% Expressions:        1
% Description:        Global
% (gap-zset)/gap (1)      Value
0.010000000000000087      -1.6001981821268203
0.019999999999999976      1.2508732073817554
0.030000000000000065      2.4564810658482976
0.03999999999999995       3.3662901619960643
0.05000000000000004       4.12566719639832
0.06000000000000013       4.790562274592486
0.07000000000000002       5.389741670549647
0.0800000000000001        5.940338812977095
0.09                      6.453540541663648
0.09999999999999988       6.937111183989545
0.10999999999999997       7.39667856986834
0.11999999999999995       7.836453254513254
0.13000000000000003       8.259660182825643
0.14000000000000004       8.668812901455428
0.15000000000000002       9.06589567108423
0.16                      9.452489079723861
0.16999999999999998       9.82985944631045
0.18000000000000008       10.199024185566355
0.18999999999999997       10.560800715886579
0.19999999999999996       10.915843795358498
0.20999999999999994       11.26467452735329
0.21999999999999995       11.60770324280706
0.23                      11.945247797002098
0.24000000000000002       12.2775483746607
0.25                      12.604779596003322
0.26                      12.927060508004871
0.26999999999999996       13.244462898192255
0.2800000000000001        13.557018263058403
0.29000000000000004       13.864723686563368
0.30000000000000004       14.167546827653549
0.31000000000000005       14.465430173447736
0.32                      14.758294682731695
0.3300000000000001        15.046042919895745
0.3400000000000001        15.328561760485597
0.3500000000000001        15.60572473471477
0.36000000000000004       15.877394063594583
0.36999999999999994       16.143422433034008
0.38000000000000006       16.40365454379888
0.39                      16.657928469188118
0.4                       16.906076847377047
0.41000000000000003       17.14792793135804
0.42                      17.383306516099026
0.43                      17.612034759799748
0.43999999999999995       17.833932913847512
0.44999999999999996       18.048819974172428
0.45999999999999996       18.256514265109367
0.4699999999999999        18.45683396553795
0.48000000000000004       18.649597585946868
0.49                      18.83462440412287
0.5                       19.011734866366304
0.51                      19.18075096046126
0.52                      19.34149656605967
0.53                      19.493797787654547
0.54                      19.637483274905307
0.55                      19.772384534720025
0.5600000000000002        19.898336239182495
0.5700000000000001        20.0151765331207
0.5800000000000001        20.122747344832028
0.59                      20.22089470319221
0.6                       20.30946906405977
0.61                      20.38832564852461
0.6200000000000001        20.457324795113127
0.6299999999999999        20.516332327525067
0.64                      20.56521993881061
0.65                      20.60386559206743
0.66                      20.63215393671845
0.67                      20.64997673819799
0.6799999999999999        20.6572333174172
0.6900000000000001        20.653830994712088
0.7000000000000001        20.63968553115585
0.7100000000000001        20.614721558256242
0.72                      20.578872985371653
0.73                      20.53208337300803
0.74                      20.47430626002717
0.75                      20.40550543446254
0.76                      20.325655142148086
0.77                      20.234740236102216
0.78                      20.13275628431975
0.79                      20.01970967641566
0.8                       19.895617802858858
0.81                      19.760509427017347
0.8200000000000001        19.61442543286856
0.8300000000000001        19.45742021353602
0.8400000000000001        19.28956407291678
0.85                      19.110947154081053
0.86                      18.92168560478233
0.8700000000000001        18.721930992133387
0.8799999999999999        18.5118845086004
0.89                      18.291818581829553
0.8999999999999999        18.06211089824924
0.010000000000000087      -1.075116616575577
0.019999999999999976      1.4581979840369563
0.030000000000000065      2.6737517078546897
0.03999999999999995       3.599862887718597
0.05000000000000004       4.375138385491896
0.06000000000000013       5.054541789271007
0.07000000000000002       5.666703726057849
0.0800000000000001        6.228832685180943
0.09                      6.752227155636912
0.09999999999999988       7.244766798072405
0.10999999999999997       7.71218716473009
0.11999999999999995       8.158796328810855
0.13000000000000003       8.587907079750016
0.14000000000000004       9.00211210280205
0.15000000000000002       9.40346721880661
0.16                      9.79361798890792
0.16999999999999998       10.173889955973586
0.18000000000000008       10.545354701725458
0.18999999999999997       10.908879324721527
0.19999999999999996       11.26516424864105
0.20999999999999994       11.61477262326897
0.21999999999999995       11.958153542127901
0.23                      12.295660627629436
0.24000000000000002       12.627567087516503
0.25                      12.954078042775519
0.26                      13.275340716920878
0.26999999999999996       13.591452928264875
0.2800000000000001        13.902470220475603
0.29000000000000004       14.208411889347586
0.30000000000000004       14.50926610659977
0.31000000000000005       14.804994298813202
0.32                      15.095534907304229
0.3300000000000001        15.380806629995249
0.3400000000000001        15.660711227213252
0.3500000000000001        15.935135958401132
0.36000000000000004       16.203955704942725
0.36999999999999994       16.46703482493026
0.38000000000000006       16.724228778187666
0.39                      16.975385553791387
0.4                       17.220346927390505
0.41000000000000003       17.45894957158249
0.42                      17.691026039269058
0.43                      17.916405637157567
0.43999999999999995       18.134915204277927
0.44999999999999996       18.346379808468207
0.45999999999999996       18.55062337217508
0.4699999999999999        18.747469237565028
0.48000000000000004       18.93674067980483
0.49                      19.118261376410505
0.5                       19.2918558397527
0.51                      19.457349819121102
0.52                      19.614570678168093
0.53                      19.763347753056472
0.54                      19.903512696210676
0.55                      20.034899810200564
0.5600000000000002        20.157346375956834
0.5700000000000001        20.270692979212974
0.5800000000000001        20.37478383877365
0.59                      20.469467139907223
0.6                       20.554595375830992
0.61                      20.630025699879916
0.6200000000000001        20.695620290499093
0.6299999999999999        20.75124673065021
0.64                      20.79677840254279
0.65                      20.83209489776458
0.66                      20.857082441862428
0.67                      20.871634331197633
0.6799999999999999        20.875651378460287
0.6900000000000001        20.86904236159695
0.7000000000000001        20.851724469146653
0.7100000000000001        20.823623733219396
0.72                      20.7846754398119
0.73                      20.734824505194684
0.74                      20.6740258072617
0.75                      20.602244462780916
0.76                      20.519456046480727
0.77                      20.425646757240028
0.78                      20.320813552059874
0.79                      20.204964292060875
0.8                       20.078117978847345
0.81                      19.94030520681503
0.8200000000000001        19.791569020215086
0.8300000000000001        19.63196644644194
0.8400000000000001        19.461571084126135
0.85                      19.28047726572134
0.86                      19.08880651059242
0.8700000000000001        18.886717286958397
0.8799999999999999        18.674419635627846
0.89                      18.452197294844815
0.8999999999999999        18.2204424088427
0.010000000000000087      -0.6538629855173993
0.019999999999999976      1.652377465065792
0.030000000000000065      2.8805483894318895
0.03999999999999995       3.8234574203715472
0.05000000000000004       4.614714171562007
0.06000000000000013       5.3085859786577805
0.07000000000000002       5.933683082647909
0.0800000000000001        6.507311101445892
0.09                      7.040894003008689
0.09999999999999988       7.542430731037351
0.10999999999999997       8.017764464285088
0.11999999999999995       8.471298978281435
0.13000000000000003       8.906432159485654
0.14000000000000004       9.325832724726176
0.15000000000000002       9.731624849059541
0.16                      10.125515917894697
0.16999999999999998       10.508887698368042
0.18000000000000008       10.882863138427133
0.18999999999999997       11.24835644058423
0.19999999999999996       11.606111353180651
0.20999999999999994       11.956730967426978
0.21999999999999995       12.300701263512405
0.23                      12.638409975552
0.24000000000000002       12.970161884359186
0.25                      13.296191353890459
0.26                      13.61667270283217
0.26999999999999996       13.931728859907672
0.2800000000000001        14.24143864132593
0.29000000000000004       14.545842911103135
0.30000000000000004       14.844949827150062
0.31000000000000005       15.138739332828052
0.32                      15.42716702099708
0.3300000000000001        15.7101674725778
0.3400000000000001        15.987657152320095
0.3500000000000001        16.25953692937976
0.36000000000000004       16.52569427841329
0.36999999999999994       16.786005207449023
0.38000000000000006       17.0403359512183
0.39                      17.288544462514576
0.4                       17.530481729174866
0.41000000000000003       17.765992940206576
0.42                      17.994918521230847
0.43                      18.217095056637536
0.43999999999999995       18.43235611353833
0.44999999999999996       18.64053298067479
0.45999999999999996       18.84145533382101
0.4699999999999999        19.0349518378598
0.48000000000000004       19.220850694564557
0.49                      19.398980144149974
0.5                       19.56916892783472
0.51                      19.73124671796399
0.52                      19.885044521648407
0.53                      20.030395063370605
0.54                      20.167133151575353
0.55                      20.295096033878693
0.5600000000000002        20.414123745190683
0.5700000000000001        20.524059452730974
0.5800000000000001        20.624749801609976
0.59                      20.716045264333765
0.6                       20.79780049724926
0.61                      20.869874706555596
0.6200000000000001        20.93213202604449
0.6299999999999999        20.98444190817019
0.64                      21.026679529360457
0.65                      21.05872620963611
0.66                      21.08046984558286
0.67                      21.09180535449841
0.6799999999999999        21.09263512611881
0.6900000000000001        21.08286947673709
0.7000000000000001        21.062427098833187
0.7100000000000001        21.03123549767579
0.72                      20.989231404967718
0.73                      20.93636115885791
0.74                      20.872581040089923
0.75                      20.79785755648424
0.76                      20.712167673430127
0.77                      20.61549899798414
0.78                      20.50784994026666
0.79                      20.38922990016903
0.8                       20.25965956225497
0.81                      20.11917142969331
0.8200000000000001        19.96781079185954
0.8300000000000001        19.805637403204603
0.8400000000000001        19.63272825807509
0.85                      19.449181986939156
0.86                      19.25512559543788
0.8700000000000001        19.05072457068174
0.8799999999999999        18.836197918384663
0.89                      18.611840797108886
0.8999999999999999        18.37805990560458
0.010000000000000087      -0.36897606507942937
0.019999999999999976      1.8356392155723404
0.030000000000000065      3.0782568415020775
0.03999999999999995       4.038254234265687
0.05000000000000004       4.845474731103594
0.06000000000000013       5.553738174145886
0.07000000000000002       6.191682096149434
0.0800000000000001        6.776742031338675
0.09                      7.320475558533597
0.09999999999999988       7.83100334660615
0.10999999999999997       8.31427571314687
0.11999999999999995       8.774790253680887
0.13000000000000003       9.21602741232714
0.14000000000000004       9.640729124708205
0.15000000000000002       10.05108504047796
0.16                      10.44886154838816
0.16999999999999998       10.835493942253887
0.18000000000000008       11.212154002718782
0.18999999999999997       11.579800688808033
0.19999999999999996       11.939218921623304
0.20999999999999994       12.291049778286924
0.21999999999999995       12.635814366302931
0.23                      12.973932956045264
0.24000000000000002       13.305740505751672
0.25                      13.631499392859531
0.26                      13.951409957155455
0.26999999999999996       14.265619307004451
0.2800000000000001        14.57422873165182
0.29000000000000004       14.877299983265349
0.30000000000000004       15.174860633880666
0.31000000000000005       15.466908668673714
0.32                      15.753416443900026
0.3300000000000001        16.03433411253637
0.3400000000000001        16.30959260110728
0.3500000000000001        16.57910620592188
0.36000000000000004       16.842774864931208
0.36999999999999994       17.10048615187323
0.38000000000000006       17.352117031731048
0.39                      17.597535410363463
0.4                       17.836601506156562
0.41000000000000003       18.069169067445905
0.42                      18.295086456085606
0.43                      18.51419761474866
0.43999999999999995       18.726342933221126
0.44999999999999996       18.93136002701288
0.45999999999999996       19.129084439981316
0.4699999999999999        19.319350281296014
0.48000000000000004       19.501990805918105
0.49                      19.67683894679216
0.5                       19.843727806121738
0.51                      20.002491112396815
0.52                      20.15296364924372
0.53                      20.294981661654543
0.54                      20.428383244710336
0.55                      20.553008719523202
0.5600000000000002        20.668701000772884
0.5700000000000001        20.77530595988846
0.5800000000000001        20.872672787609027
0.59                      20.960654359332455
0.6                       21.039107606307997
0.61                      21.10789389532687
0.6200000000000001        21.16687941909046
0.6299999999999999        21.21593559886311
0.64                      21.25493950031876
0.65                      21.28377426264148
0.66                      21.302329539916474
0.67                      21.310501952636628
0.6799999999999999        21.30819554575323
0.6900000000000001        21.295322248149404
0.7000000000000001        21.271802326789892
0.7100000000000001        21.23756482724621
0.72                      21.1925479910602
0.73                      21.13669963987467
0.74                      21.069977516995856
0.75                      20.99234957985878
0.76                      20.903794242822705
0.77                      20.804300580224044
0.78                      20.693868516379204
0.79                      20.572509054285074
0.8                       20.44024463038309
0.81                      20.297109731390783
