% Model:              electrostatically actuated reflector 50-cm.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 26 2025, 14:18
% Dimension:          1
% Nodes:              90
% Expressions:        1
% Description:        Global
% (gap-zset)/gap (1)      Value
0.010000000000000087      2.499259520872157
0.019999999999999976      3.511630978962744
0.030000000000000065      4.276248450513326
0.03999999999999995       4.9130826693343765
0.05000000000000004       5.469420454118399
0.06000000000000013       5.969846256087272
0.07000000000000002       6.4291836482045905
0.0800000000000001        6.857206642566806
0.09                      7.260762728585764
0.09999999999999988       7.644858456428212
0.10999999999999997       8.013268891586884
0.11999999999999995       8.368904778800296
0.13000000000000003       8.714046435537497
0.14000000000000004       9.050499698633224
0.15000000000000002       9.379703952704219
0.16                      9.702809454840235
0.16999999999999998       10.020734281152288
0.18000000000000008       10.334207329117302
0.18999999999999997       10.643801517097588
0.19999999999999996       10.949959922612043
0.20999999999999994       11.253016719471553
0.21999999999999995       11.553214203821158
0.23                      11.850716821798494
0.24000000000000002       12.145622856640221
0.25                      12.437974257791037
0.26                      12.727764972078894
0.26999999999999996       13.014948050143735
0.2800000000000001        13.29944173882458
0.29000000000000004       13.581134724656874
0.30000000000000004       13.85989065996346
0.31000000000000005       14.135552077787784
0.32                      14.40794378272602
0.3300000000000001        14.676875789896597
0.3400000000000001        14.942145872665117
0.3500000000000001        15.203541770486371
0.36000000000000004       15.460843100736607
0.36999999999999994       15.713823012262965
0.38000000000000006       15.962249613260985
0.39                      16.205887201782183
0.4                       16.444497323504123
0.41000000000000003       16.677839678242282
0.42                      16.905672893952683
0.43                      17.127755184595223
0.43999999999999995       17.343844906144458
0.44999999999999996       17.5537010232016
0.45999999999999996       17.757083497044906
0.4699999999999999        17.95375360452406
0.48000000000000004       18.143474195933635
0.49                      18.326009898871177
0.5                       18.501127274077604
0.51                      18.668594928358274
0.52                      18.82818358887785
0.53                      18.97966614240232
0.54                      19.122817642417345
0.55                      19.257415286478793
0.5600000000000002        19.383238365645347
0.5700000000000001        19.500068187403134
0.5800000000000001        19.60768797312299
0.59                      19.70588273079698
0.6                       19.794439103596254
0.61                      19.873145194692952
0.6200000000000001        19.94179036882068
0.6299999999999999        20.00016503124381
0.64                      20.048060385210015
0.65                      20.08526816962783
0.66                      20.11158037971433
0.67                      20.12678897478195
0.6799999999999999        20.13068557928724
0.6900000000000001        20.123061185873524
0.7000000000000001        20.103705872557526
0.7100000000000001        20.072408550612913
0.72                      20.028956765297494
0.73                      19.973136578591323
0.74                      19.904732571831445
0.75                      19.823528016863936
0.76                      19.729305277465297
0.77                      19.621846518799895
0.78                      19.500934822232143
0.79                      19.366355826860804
0.8                       19.217900049171405
0.81                      19.055366070629507
0.8200000000000001        18.878564833936053
0.8300000000000001        18.687325359108225
0.8400000000000001        18.48150229319914
0.85                      18.260985865899478
0.86                      18.025715083456014
0.8700000000000001        17.775695449519468
0.8799999999999999        17.511023354695187
0.89                      17.231920962087315
0.8999999999999999        16.938788847111628
