0.0235,2.3802,2.7411,1.7696,2.0882,3.7895,2.4548,3.1659,2.5857
0.0234,2.3724,2.7247,1.7464,2.0616,3.7842,2.4422,3.1773,2.5887
0.0235,2.3897,2.7362,1.7748,2.0833,3.7788,2.4543,3.1642,2.5727
0.0235,2.3929,2.7373,1.7739,2.0773,3.7682,2.4520,3.1621,2.5892
0.0233,2.3911,2.7461,1.7733,2.0758,3.7816,2.4579,3.1639,2.5790
0.0234,2.3823,2.7229,1.7411,2.0679,3.7828,2.4449,3.1720,2.5788
0.0232,2.3917,2.7374,1.7724,2.0876,3.7755,2.4490,3.1649,2.5777
0.0233,2.3858,2.7328,1.7665,2.0759,3.7809,2.4538,3.1661,2.5808
0.0232,2.3882,2.7299,1.7641,2.0776,3.7744,2.4490,3.1607,2.5733
0.0232,2.3920,2.7448,1.7712,2.0872,3.7832,2.4445,3.1593,2.5794
0.0230,2.3935,2.7304,1.7696,2.0772,3.7822,2.4469,3.1586,2.5781
0.0232,2.3946,2.7336,1.7625,2.0725,3.7817,2.4451,3.1610,2.5812
0.0232,2.3917,2.7322,1.7730,2.0740,3.7709,2.4505,3.1607,2.5701
0.0231,2.3909,2.7321,1.7653,2.0875,3.7837,2.4506,3.1578,2.5779
0.0231,2.3879,2.7353,1.7671,2.0867,3.7702,2.4400,3.1648,2.5863
0.0231,2.3907,2.7397,1.7711,2.0848,3.7866,2.4465,3.1713,2.5918
0.0233,2.3808,2.7203,1.7417,2.0812,3.7865,2.4315,3.1668,2.5944
0.0232,2.3947,2.7321,1.7682,2.0704,3.7714,2.4462,3.1700,2.5773
0.0231,2.3999,2.7386,1.7658,2.0718,3.7803,2.4426,3.1571,2.5809
0.0230,2.3993,2.7405,1.7745,2.0867,3.7851,2.4511,3.1635,2.5826
0.0232,2.3997,2.7329,1.7730,2.0857,3.7756,2.4518,3.1712,2.5762
0.0231,2.3952,2.7391,1.7670,2.0876,3.7744,2.4587,3.1585,2.5827
0.0233,2.3907,2.7400,1.7688,2.0809,3.7813,2.4597,3.1688,2.5866
0.0232,2.3894,2.7459,1.7657,2.0822,3.7791,2.4448,3.1646,2.5809
0.0233,2.3915,2.7404,1.7761,2.0928,3.7799,2.4529,3.1713,2.5694
0.0232,2.3963,2.7358,1.7657,2.0906,3.7741,2.4508,3.1588,2.5837
0.0234,2.3960,2.7388,1.7629,2.0830,3.7798,2.4519,3.1657,2.5796
0.0233,2.3915,2.7408,1.7712,2.0934,3.7822,2.4540,3.1707,2.5660
0.0234,2.3887,2.7291,1.7594,2.0823,3.7820,2.4519,3.1649,2.5797
0.0234,2.3947,2.7384,1.7619,2.0835,3.7799,2.4520,3.1668,2.5889
0.0233,2.3924,2.7462,1.7731,2.0964,3.7937,2.4587,3.1737,2.5871
0.0234,2.3924,2.7329,1.7650,2.0824,3.7752,2.4455,3.1662,2.5807
0.0235,2.3896,2.7417,1.7591,2.0770,3.7793,2.4467,3.1735,2.5832
0.0235,2.3996,2.7395,1.7574,2.0762,3.7868,2.4432,3.1696,2.5824
0.0234,2.4002,2.7351,1.7557,2.0833,3.7854,2.4397,3.1619,2.5762
0.0234,2.3920,2.7400,1.7667,2.0842,3.7750,2.4461,3.1664,2.5728
0.0235,2.3828,2.7217,1.7469,2.0684,3.7762,2.4452,3.1794,2.5812
0.0236,2.3850,2.7364,1.7758,2.0855,3.7878,2.4596,3.1669,2.5748
0.0234,2.3938,2.7370,1.7744,2.0813,3.7745,2.4500,3.1642,2.5752
0.0234,2.3858,2.7371,1.7743,2.0793,3.7759,2.4568,3.1628,2.5700
0.0233,2.3894,2.7383,1.7650,2.0802,3.7784,2.4534,3.1671,2.5795
0.0234,2.3870,2.7411,1.7738,2.0800,3.7814,2.4546,3.1680,2.5775
0.0235,2.3946,2.7399,1.7672,2.0832,3.7828,2.4603,3.1683,2.5824
0.0235,2.3810,2.7243,1.7347,2.0603,3.7717,2.4365,3.1669,2.5902
0.0233,2.3844,2.7353,1.7718,2.0763,3.7759,2.4494,3.1636,2.5708
0.0231,2.3975,2.7447,1.7671,2.0865,3.7847,2.4501,3.1626,2.5787
0.0233,2.3916,2.7353,1.7691,2.0746,3.7809,2.4480,3.1611,2.5757
0.0233,2.3924,2.7354,1.7707,2.0907,3.7855,2.4600,3.1648,2.5701
0.0231,2.3886,2.7289,1.7500,2.0774,3.7807,2.4435,3.1665,2.5881
0.0232,2.3983,2.7460,1.7710,2.0913,3.7801,2.4567,3.1684,2.5825
0.0230,2.3955,2.7394,1.7676,2.0826,3.7788,2.4488,3.1630,2.5837
0.0232,2.4010,2.7371,1.7753,2.0765,3.7818,2.4526,3.1627,2.5797
0.0231,2.4039,2.7322,1.7713,2.0801,3.7750,2.4565,3.1584,2.5826
0.0232,2.3990,2.7504,1.7799,2.0887,3.7850,2.4553,3.1693,2.5798
0.0231,2.3939,2.7445,1.7695,2.0856,3.7815,2.4614,3.1709,2.5766
0.0234,2.3933,2.7389,1.7746,2.0807,3.7848,2.4538,3.1617,2.5731
0.0232,2.4003,2.7407,1.7690,2.0817,3.7804,2.4461,3.1620,2.5864
0.0236,2.3954,2.7426,1.7694,2.0782,3.7852,2.4499,3.1664,2.5891
0.0235,2.3805,2.7157,1.7388,2.0611,3.7779,2.4452,3.1679,2.5848
0.0235,2.4005,2.7452,1.7734,2.0887,3.7855,2.4553,3.1723,2.5820
0.0233,2.3884,2.7440,1.7756,2.0849,3.7862,2.4607,3.1697,2.5728
0.0236,2.3918,2.7407,1.7643,2.0828,3.7802,2.4552,3.1676,2.5800
0.0233,2.3816,2.7305,1.7414,2.0740,3.7895,2.4480,3.1763,2.5899
0.0233,2.3956,2.7417,1.7703,2.0789,3.7787,2.4547,3.1699,2.5764
0.0232,2.3846,2.7254,1.7432,2.0708,3.7694,2.4465,3.1681,2.5885
0.0233,2.3860,2.7424,1.7657,2.0842,3.7820,2.4558,3.1659,2.5792
0.0234,2.3995,2.7383,1.7668,2.0852,3.7789,2.4601,3.1663,2.5806
0.0232,2.3903,2.7424,1.7692,2.0940,3.7900,2.4586,3.1680,2.5818
0.0235,2.4009,2.7447,1.7699,2.0901,3.7897,2.4550,3.1720,2.5866
0.0235,2.3886,2.7347,1.7676,2.0839,3.7822,2.4615,3.1660,2.5715
0.0234,2.3784,2.7356,1.7613,2.0760,3.7780,2.4493,3.1566,2.5760
0.0233,2.3813,2.7198,1.7377,2.0623,3.7795,2.4348,3.1843,2.5914
0.0235,2.3998,2.7379,1.7617,2.0818,3.7738,2.4385,3.1657,2.5865
0.0234,2.3973,2.7393,1.7676,2.0801,3.7832,2.4447,3.1606,2.5870
0.0234,2.3971,2.7408,1.7684,2.0797,3.7675,2.4408,3.1661,2.5760
0.0230,2.3933,2.7445,1.7611,2.0827,3.7799,2.4482,3.1712,2.5858
0.0231,2.4006,2.7492,1.7753,2.0744,3.7774,2.4485,3.1621,2.5784
0.0232,2.3979,2.7465,1.7717,2.0802,3.7794,2.4496,3.1623,2.5790
0.0232,2.3973,2.7489,1.7742,2.0867,3.7817,2.4509,3.1653,2.5800
0.0232,2.3971,2.7545,1.7645,2.0845,3.7850,2.4647,3.1709,2.5794
0.0233,2.4024,2.7495,1.7753,2.0926,3.7860,2.4543,3.1705,2.5847
0.0231,2.3924,2.7397,1.7785,2.0836,3.7824,2.4569,3.1665,2.5771
0.0231,2.3896,2.7472,1.7706,2.0878,3.7765,2.4590,3.1629,2.5752
0.0233,2.3724,2.7262,1.7454,2.0674,3.7737,2.4382,3.1676,2.5898
0.0232,2.3909,2.7351,1.7688,2.0816,3.7838,2.4538,3.1659,2.5766
0.0231,2.3962,2.7379,1.7692,2.0862,3.7760,2.4491,3.1673,2.5885
0.0231,2.3943,2.7432,1.7675,2.0890,3.7748,2.4394,3.1558,2.5847
0.0233,2.4008,2.7455,1.7694,2.0835,3.7640,2.4520,3.1672,2.5810
0.0230,2.3976,2.7462,1.7622,2.0784,3.7813,2.4504,3.1600,2.5858
0.0233,2.4045,2.7443,1.7638,2.0885,3.7862,2.4573,3.1669,2.5889
0.0231,2.3903,2.7308,1.7682,2.0756,3.7769,2.4395,3.1567,2.5705
0.0233,2.3994,2.7340,1.7804,2.0856,3.7835,2.4552,3.1653,2.5775
0.0230,2.4057,2.7412,1.7658,2.0842,3.7861,2.4662,3.1710,2.5780
0.0232,2.3879,2.7422,1.7683,2.0884,3.7751,2.4601,3.1688,2.5807
0.0232,2.3956,2.7430,1.7699,2.0759,3.7769,2.4497,3.1675,2.5780
0.0232,2.3962,2.7456,1.7616,2.0741,3.7696,2.4529,3.1639,2.5830
0.0232,2.3874,2.7407,1.7692,2.0831,3.7708,2.4501,3.1658,2.5686
0.0232,2.3958,2.7268,1.7667,2.0846,3.7823,2.4468,3.1588,2.5711
0.0234,2.3804,2.7377,1.7715,2.0783,3.7768,2.4581,3.1605,2.5711
0.0232,2.3851,2.7431,1.7653,2.0771,3.7933,2.4549,3.1707,2.5797
0.0232,2.3908,2.7368,1.7719,2.0891,3.7857,2.4517,3.1616,2.5801
0.0231,2.4043,2.7454,1.7663,2.0872,3.7801,2.4470,3.1774,2.5859
0.0232,2.4044,2.7457,1.7750,2.0852,3.7847,2.4611,3.1660,2.5671
0.0232,2.3998,2.7418,1.7646,2.0830,3.7929,2.4560,3.1708,2.5839
0.0231,2.3996,2.7457,1.7693,2.0879,3.7724,2.4620,3.1732,2.5813
0.0232,2.4000,2.7363,1.7714,2.0844,3.7744,2.4530,3.1753,2.5796
0.0233,2.3952,2.7476,1.7678,2.0885,3.7863,2.4610,3.1593,2.5825
0.0231,2.3886,2.7453,1.7746,2.0912,3.7781,2.4567,3.1737,2.5757
0.0232,2.4039,2.7461,1.7761,2.0754,3.7842,2.4566,3.1712,2.5754
0.0231,2.3937,2.7398,1.7728,2.0918,3.7761,2.4607,3.1646,2.5878
0.0233,2.3961,2.7485,1.7663,2.0888,3.7806,2.4528,3.1607,2.5848
0.0231,2.3908,2.7363,1.7746,2.1011,3.7874,2.4552,3.1734,2.5800
0.0232,2.3917,2.7446,1.7791,2.0910,3.7854,2.4517,3.1755,2.5754
0.0231,2.3868,2.7399,1.7693,2.0859,3.7795,2.4518,3.1629,2.5751
0.0232,2.3967,2.7411,1.7662,2.0868,3.7757,2.4510,3.1650,2.5763
0.0232,2.3805,2.7267,1.7486,2.0729,3.7827,2.4441,3.1754,2.5892
0.0236,2.3938,2.7473,1.7734,2.0793,3.7667,2.4644,3.1647,2.5804
0.0234,2.3892,2.7493,1.7702,2.0828,3.7799,2.4628,3.1695,2.5720
0.0234,2.4004,2.7478,1.7730,2.0857,3.7793,2.4622,3.1648,2.5892
0.0235,2.3964,2.7461,1.7771,2.0833,3.7766,2.4599,3.1657,2.5725
0.0234,2.3956,2.7360,1.7693,2.0791,3.7772,2.4649,3.1673,2.5851
0.0233,2.3985,2.7395,1.7700,2.0886,3.7844,2.4632,3.1702,2.5858
0.0235,2.3916,2.7295,1.7692,2.0877,3.7789,2.4561,3.1662,2.5774
0.0233,2.3983,2.7343,1.7665,2.0786,3.7794,2.4494,3.1654,2.5728
0.0235,2.3835,2.7137,1.7471,2.0655,3.7751,2.4432,3.1672,2.5890
0.0234,2.3824,2.7195,1.7406,2.0626,3.7738,2.4417,3.1643,2.5834
0.0234,2.3967,2.7465,1.7682,2.0813,3.7909,2.4546,3.1714,2.5833
0.0234,2.3951,2.7485,1.7712,2.0915,3.7719,2.4530,3.1719,2.5763
0.0234,2.3910,2.7450,1.7699,2.0838,3.7753,2.4564,3.1641,2.5758
0.0232,2.4003,2.7494,1.7729,2.0866,3.7850,2.4535,3.1645,2.5783
0.0233,2.4010,2.7414,1.7715,2.0865,3.7731,2.4580,3.1676,2.5802
0.0233,2.3971,2.7424,1.7803,2.0776,3.7790,2.4602,3.1694,2.5751
0.0234,2.4002,2.7482,1.7725,2.0845,3.7790,2.4524,3.1626,2.5836
0.0234,2.4051,2.7428,1.7637,2.0823,3.7791,2.4581,3.1641,2.5876
0.0233,2.3998,2.7459,1.7701,2.0897,3.7835,2.4644,3.1675,2.5747
0.0233,2.3990,2.7447,1.7721,2.0925,3.7821,2.4600,3.1681,2.5889
0.0231,2.3906,2.7353,1.7676,2.0821,3.7820,2.4627,3.1675,2.5806
0.0233,2.3976,2.7451,1.7725,2.0911,3.7778,2.4577,3.1802,2.5816
0.0232,2.3982,2.7417,1.7678,2.0927,3.7757,2.4576,3.1635,2.5741
0.0233,2.3915,2.7429,1.7721,2.0849,3.7804,2.4577,3.1647,2.5797
